collection.site,maternal.id,seed.1,seed.2,seed.3,seed.4,seed.5,seed.6,seed.7,seed.8,seed.9,seed.10,seed.11,seed.12,seed.13,seed.14,seed.15,seed.16,seed.17,seed.18,seed.19,seed.20,index
Bari1,1,0.09007,0.09237,0.10112,0.09987,0.12392,0.12546,0.08449,0.10116,0.11804,0.10875,0.11542,0.08245,0.10204,0.09395,0.10354,0.09016,0.09958,0.09833,0.10054,0.09824,Bari1
Bari1,2,0.1477,0.14064,0.17293,0.14748,0.10643,0.12119,0.16373,0.11948,0.1323,0.16566,0.20521,0.09104,0.15561,0.09168,0.13401,0.1276,0.10088,0.17186,0.10536,0.02348,Bari1
Bari1,3,0.19513,0.16841,0.21359,0.15335,0.20178,0.15172,0.17153,0.11658,0.16312,0.16244,0.04848,0.10424,0.12961,0.12649,0.17709,0.14358,0.14697,0.15416,0.09637,0.11034,Bari1
Bari1,4,0.10349,0.1307,0.11936,0.12496,0.11621,0.1351,0.09866,0.10889,0.1098,0.12075,0.11057,0.11769,0.09871,0.09407,0.1011,0.12094,0.1141,0.11793,0.11033,0.1055,Bari1
Bari1,6,0.09367,0.09257,0.08675,0.0909,0.09071,0.08291,0.09039,0.08376,0.09534,0.07523,0.08893,0.07927,0.0754,0.07963,0.08822,0.09237,0.09503,0.09836,0.08946,0.09816,Bari1
Bari1,7,0.12551,0.12241,0.13505,0.12592,0.11813,0.1274,0.13123,0.1223,0.12448,0.12754,0.12108,0.12767,0.1256,0.12074,0.136,0.11899,0.12738,0.11131,0.12817,0.1209,Bari1
Bari1,8,0.1221,0.14449,0.15327,0.12405,0.11119,0.13363,0.13243,0.14786,0.13234,0.1346,0.13256,0.11895,0.11873,0.11718,0.13824,0.12684,0.13522,0.15097,0.12072,0.1268,Bari1
Bari1,9,0.09981,0.08949,0.09482,0.10228,0.0962,0.1048,0.12107,0.09989,0.08941,0.10568,0.09868,0.07234,0.12288,0.10275,0.10639,0.08547,0.10266,0.1048,0.1131,0.11394,Bari1
Bari1,10,0.05396,0.13803,0.04347,0.09319,0.16045,0.12899,0.13767,0.18107,0.15304,0.13839,0.09391,0.11181,0.15159,0.16497,0.1035,0.14093,0.07728,0.17673,0.15756,0.15503,Bari1
Bari1,11,0.11342,0.0972,0.10605,0.14194,0.1288,0.09741,0.11045,0.10187,0.09487,0.11745,0.11224,0.10418,0.10808,0.10411,0.10198,0.11278,0.10994,0.10526,0.10872,0.10349,Bari1
Bari1,12,0.11619,0.12242,0.12254,0.12252,0.12476,0.12728,0.12474,0.12506,0.12344,0.12107,0.11841,0.12315,0.11213,0.13566,0.12811,0.11597,0.13578,0.12672,0.12525,0.1212,Bari1
Bari1,13,0.12197,0.11233,0.14113,0.13065,0.12767,0.1265,0.13954,0.12663,0.14578,0.14637,0.10818,0.12168,0.113,0.12176,0.14671,0.1221,0.13367,0.14478,0.12902,0.12809,Bari1
Bari1,14,0.11029,0.10313,0.10584,0.1032,0.10939,0.10526,0.10572,0.10467,0.09843,0.10293,0.10423,0.10149,0.15629,0.10282,0.10402,0.10741,0.10503,0.10526,0.11023,0.10222,Bari1
Bari1,15,0.13439,0.11524,0.12591,0.14363,0.12735,0.12911,0.13701,0.14,0.12308,0.15179,0.12447,0.13295,0.14763,0.14288,0.13914,0.13493,0.15777,0.12911,0.12564,0.12452,Bari1
Bari1,16,0.12671,0.12451,0.12404,0.12835,0.13029,0.11784,0.12713,0.12105,0.10896,0.12947,0.1234,0.1366,0.12713,0.12178,0.12336,0.12884,0.12705,0.13273,0.12718,0.12223,Bari1
Bari1,17,0.12088,0.13445,0.14183,0.1147,0.13565,0.13159,0.12428,0.11586,0.1369,0.14158,0.10586,0.13945,0.13042,0.11175,0.14138,0.11673,0.11868,0.12731,0.12038,0.10786,Bari1
Bari1,18,0.12571,0.12994,0.12449,0.11481,0.10688,0.13408,0.12776,0.11904,0.12579,0.11979,0.12903,0.12915,0.14202,0.12303,0.1558,0.1143,0.13866,0.12583,0.13009,0.14221,Bari1
Bari1,19,0.1153,0.1518,0.11773,0.14347,0.13839,0.12874,0.1241,0.14164,0.12564,0.13633,0.1368,0.1319,0.12682,0.13379,0.12269,0.13284,0.14708,0.13208,0.15269,0.11979,Bari1
Bari1,20,0.09064,0.10273,0.08436,0.09288,0.10095,0.10549,0.09064,0.08831,0.09656,0.09187,0.08739,0.09055,0.09086,0.08975,0.08052,0.09104,0.09561,0.0839,0.09856,0.10524,Bari1
Bari1,22,0.12346,0.12158,0.12427,0.13296,0.13269,0.1233,0.12524,0.13134,0.12956,0.1534,0.1451,0.13717,0.14062,0.12783,0.1288,0.10998,0.14083,0.15179,0.12934,0.12104,Bari1
Bari1,23,0.11365,0.12285,0.11016,0.09697,0.11274,0.11835,0.11355,0.10885,0.09884,0.09247,0.07851,0.10596,0.11423,0.11122,0.08635,0.11626,0.11147,0.11678,0.09793,0.12103,Bari1
Bari1,24,0.14344,0.11524,0.14035,0.12562,0.12151,0.12875,0.11423,0.10965,0.11804,0.12422,0.1119,0.12761,0.12396,0.12523,0.12828,0.14221,0.11749,0.12799,0.15636,0.1235,Bari1
Bari1,25,0.1305,0.11956,0.12859,0.12389,0.13413,0.12617,0.15801,0.11933,0.12063,0.15029,0.13455,0.11789,0.13581,0.10439,0.12394,0.12212,0.13558,0.13725,0.13046,0.12645,Bari1
Bari1,26,0.08468,0.09272,0.07631,0.08361,0.09492,0.09229,0.08397,0.09421,0.09148,0.09807,0.07493,0.08259,0.08181,0.09697,0.09623,0.08262,0.08542,0.08701,0.08914,0.09664,Bari1
Bari1,27,0.07585,0.15965,0.15284,0.0924,0.1749,0.12244,0.10742,0.11247,0.14333,0.14181,0.18417,0.1715,0.16188,0.11317,0.15249,0.03877,0.14533,0.11083,0.20248,0.12573,Bari1
Bari1,28,0.11857,0.10885,0.12538,0.11175,0.11052,0.14222,0.08986,0.10059,0.11096,0.10441,0.10999,0.10133,0.10925,0.11158,0.099,0.10349,0.11417,0.12868,0.09808,0.11808,Bari1
Bari1,29,0.10578,0.12705,0.12151,0.08819,0.09935,0.11561,0.09507,0.11221,0.10558,0.111,0.09806,0.08581,0.10611,0.09903,0.11112,0.10667,0.11031,0.10247,0.12058,0.09333,Bari1
Bari1,30,0.13329,0.12216,0.12399,0.14163,0.09671,0.13682,0.13017,0.12773,0.11942,0.12519,0.11332,0.13063,0.10116,0.12752,0.11353,0.13084,0.13055,0.13013,0.12395,0.12943,Bari1
Bari1,31,0.17046,0.09636,0.14685,0.17203,0.14593,0.11854,0.16629,0.19264,0.09557,0.16629,0.07118,0.22904,0.11267,0.09975,0.10171,0.10927,0.16303,0.12297,0.14346,0.15833,Bari1
Bari1,33,0.0938,0.08891,0.10263,0.11178,0.13148,0.1096,0.10737,0.1017,0.12563,0.11223,0.09652,0.10644,0.1113,0.10484,0.12262,0.10292,0.09713,0.11686,0.11485,0.09809,Bari1
Bari1,34,0.13915,0.15174,0.13728,0.12604,0.12068,0.12295,0.12839,0.12787,0.13998,0.10317,0.14194,0.12922,0.12939,0.13053,0.14111,0.13262,0.13353,0.13026,0.13,0.151,Bari1
Bari1,35,0.11129,0.13152,0.122,0.12738,0.11669,0.12664,0.12137,0.12294,0.13017,0.12439,0.12657,0.12178,0.13175,0.1274,0.13744,0.12733,0.12849,0.13146,0.12557,0.12898,Bari1
Bari1,36,0.13179,0.13507,0.14037,0.12972,0.09674,0.12791,0.12817,0.1455,0.13438,0.13179,0.1314,0.11097,0.13602,0.13308,0.13179,0.12105,0.14309,0.11575,0.11993,0.14192,Bari1
Bari1,37,0.12755,0.13119,0.12116,0.12497,0.12602,0.13919,0.12046,0.12729,0.14044,0.12473,0.1282,0.12839,0.12284,0.12822,0.13287,0.12858,0.12243,0.11933,0.13551,0.12956,Bari1
Bari1,38,0.16573,0.16253,0.19093,0.17696,0.20078,0.17902,0.13343,0.15955,0.22346,0.16321,0.11854,0.18062,0.18543,0.19666,0.14054,0.14512,0.19139,0.1458,0.05051,0.223,Bari1
Bari1,39,0.13769,0.12636,0.13238,0.13291,0.24977,0.14354,0.13167,0.16018,0.04438,0.14584,0.16885,0.14867,0.10724,0.1014,0.09307,0.1554,0.17363,0.13362,0.14265,0.11432,Bari1
Bari1,40,0.15874,0.12003,0.1977,0.12347,0.12034,0.15562,0.13267,0.16093,0.13486,0.21634,0.10942,0.09833,0.08038,0.10255,0.06618,0.13065,0.1525,0.12439,0.14235,0.2062,Bari1
Bari1,41,0.11722,0.12206,0.10372,0.10386,0.16116,0.14211,0.0649,0.10599,0.15007,0.12334,0.13869,0.15433,0.08324,0.19912,0.12803,0.15078,0.12035,0.24576,0.12519,0.12064,Bari1
Bari1,42,0.1162,0.09365,0.10044,0.1268,0.08711,0.10837,0.0885,0.12452,0.0933,0.10733,0.10579,0.11813,0.09618,0.11679,0.11783,0.10148,0.09504,0.11441,0.09796,0.10148,Bari1
Bari1,44,0.12749,0.14431,0.14448,0.11891,0.12123,0.1018,0.12674,0.1347,0.12446,0.11949,0.12467,0.13362,0.12218,0.13507,0.13321,0.12119,0.1204,0.12438,0.15119,0.12152,Bari1
Bari1,45,0.14332,0.07535,0.13078,0.20956,0.14556,0.15889,0.12946,0.12141,0.09515,0.20389,0.13856,0.19452,0.17921,0.17024,0.22513,0.09871,0.18119,0.15295,0.14912,0.13474,Bari1
