collection.site,maternal.id,seed.1,seed.2,seed.3,seed.4,seed.5,seed.6,seed.7,seed.8,seed.9,seed.10,seed.11,seed.12,seed.13,seed.14,seed.15,seed.16,seed.17,seed.18,seed.19,seed.20
Bari2,83,0.16195,0.17309,0.15539,0.13693,0.1897,0.16965,0.17353,0.13452,0.15259,0.12936,0.18142,0.16494,0.17958,0.12917,0.1503,0.16937,0.15501,0.16303,0.16678,0.17054
Bari2,84,0.12361,0.17079,0.14858,0.16975,0.12672,0.13433,0.12545,0.17096,0.13866,0.15158,0.15314,0.15637,0.1382,0.14414,0.14137,0.13606,0.14593,0.14172,0.12009,0.15533
Bari2,86,0.21958,0.1771,0.17333,0.18051,0.16473,0.18748,0.16249,0.18748,0.17074,0.19516,0.16916,0.14901,0.1858,0.18697,0.16199,0.17267,0.16087,0.17557,0.15929,0.16504
Bari2,87,0.19573,0.19654,0.17016,0.17444,0.19091,0.19108,0.19381,0.16179,0.19506,0.19519,0.20113,0.21051,0.20154,0.19182,0.1985,0.18939,0.18362,0.19614,0.19604,0.19
Bari2,88,0.18527,0.16475,0.16187,0.16502,0.16979,0.14765,0.17598,0.17121,0.15699,0.15636,0.13863,0.14791,0.17934,0.15563,0.18847,0.18002,0.1828,0.15652,0.13464,0.18249
Bari2,90,0.14779,0.16727,0.1523,0.17338,0.15891,0.16037,0.20158,0.18966,0.18363,0.18719,0.16262,0.19525,0.1954,0.18726,0.18806,0.16465,0.16465,0.16691,0.18181,0.18828
Bari2,91,0.20485,0.19073,0.19612,0.1824,0.1838,0.17547,0.19938,0.20051,0.20033,0.20422,0.18942,0.20617,0.19775,0.20825,0.19435,0.19793,0.19476,0.19005,0.21124,0.16605
Bari2,92,0.1672,0.15393,0.16767,0.15299,0.16825,0.17093,0.18063,0.16998,0.11014,0.16149,0.15409,0.18157,0.14292,0.14449,0.15645,0.16726,0.17685,0.18634,0.15976,0.17858
Bari2,93,0.15015,0.13673,0.10098,0.11151,0.15258,0.16867,0.17422,0.15617,0.13916,0.13152,0.12169,0.19192,0.16797,0.14228,0.16647,0.16439,0.21079,0.15351,0.16045,0.2006
Bari2,94,0.19371,0.19528,0.19626,0.20403,0.19249,0.1989,0.19743,0.20109,0.19083,0.19457,0.19293,0.1951,0.19479,0.2436,0.19502,0.19013,0.19263,0.19626,0.19427,0.19657
Bari2,95,0.209,0.1762,0.20545,0.31336,0.2091,0.19055,0.2018,0.19875,0.1923,0.20605,0.17885,0.1824,0.1986,0.1963,0.1876,0.19745,0.18745,0.2152,0.202,0.2144
Bari2,96,0.14618,0.13823,0.17667,0.17942,0.151,0.14511,0.13747,0.17053,0.15895,0.15062,0.15726,0.14837,0.15325,0.17053,0.16415,0.14812,0.12333,0.12721,0.15789,0.16696
Bari2,97,0.14544,0.169,0.16643,0.18381,0.19862,0.20343,0.17173,0.19917,0.18939,0.17922,0.16736,0.16763,0.17086,0.18102,0.20103,0.18042,0.17113,0.19758,0.1901,0.15828
Bari2,98,0.17244,0.17486,0.17957,0.16936,0.19577,0.16035,0.16482,0.19843,0.16428,0.17462,0.17836,0.21312,0.17045,0.16343,0.19922,0.1774,0.16863,0.15515,0.16597,0.20019
Bari2,99,0.16642,0.17132,0.13976,0.14108,0.1565,0.16418,0.15405,0.1745,0.17728,0.15154,0.16781,0.16199,0.16073,0.16775,0.15928,0.15868,0.16305,0.16914,0.16927,0.09794
Bari2,100,0.25425,0.22546,0.18914,0.21479,0.20751,0.19854,0.19955,0.19701,0.23266,0.20065,0.18355,0.15722,0.17754,0.23062,0.21538,0.19523,0.17474,0.16687,0.25814,0.16602
Bari2,101,0.12908,0.146,0.17035,0.20179,0.13599,0.11155,0.15166,0.16105,0.15459,0.17743,0.13687,0.16831,0.2079,0.18965,0.10889,0.14821,0.16415,0.17354,0.16734,0.11633
Bari2,102,0.1399,0.16249,0.14546,0.16691,0.1929,0.172,0.14924,0.14729,0.18109,0.14983,0.16699,0.14584,0.12945,0.12189,0.07517,0.16105,0.1692,0.12486,0.1517,0.20173
Bari2,103,0.14736,0.14511,0.16239,0.17087,0.15585,0.16045,0.2084,0.18468,0.20206,0.18049,0.14072,0.16106,0.16014,0.14644,0.18407,0.09164,0.20206,0.14245,0.15452,0.12732
Bari2,104,0.16523,0.22931,0.16757,0.20083,0.20195,0.17754,0.17276,0.24233,0.12007,0.20602,0.21192,0.19677,0.18914,0.17063,0.19717,0.23491,0.20267,0.21935,0.19951,0.21538
Bari2,105,0.19437,0.19062,0.22156,0.22372,0.19367,0.18852,0.1809,0.29994,0.18884,0.18185,0.18471,0.20542,0.19481,0.21032,0.19271,0.20155,0.20148,0.20466,0.15357,0.21985
Bari2,106,0.19276,0.23308,0.18044,0.21635,0.15049,0.18404,0.18855,0.21923,0.21841,0.20681,0.21697,0.18506,0.2101,0.25052,0.19091,0.19778,0.1628,0.24129,0.20568,0.14259
Bari2,107,0.18284,0.15468,0.18119,0.19029,0.16982,0.17092,0.21689,0.18974,0.17978,0.19979,0.16425,0.16025,0.15688,0.17962,0.16378,0.17209,0.15381,0.18206,0.18025,0.17641
Bari2,108,0.18014,0.18636,0.19587,0.18559,0.1694,0.16702,0.18805,0.22043,0.18643,0.17477,0.17193,0.2202,0.16702,0.18037,0.16487,0.177,0.17922,0.16242,0.17738,0.18666
Bari2,109,0.14163,0.13591,0.15399,0.11949,0.15916,0.15891,0.15418,0.16813,0.14895,0.13075,0.16242,0.15221,0.12939,0.15891,0.17133,0.19943,0.16334,0.15301,0.16039,0.15608
Bari2,110,0.143,0.13626,0.1674,0.1594,0.1555,0.13999,0.15342,0.14843,0.14766,0.14465,0.09821,0.1498,0.15709,0.17403,0.14021,0.135,0.15337,0.14838,0.14975,0.15742
Bari2,111,0.16309,0.16332,0.17278,0.19074,0.18141,0.1326,0.16498,0.15352,0.14678,0.11475,0.12763,0.10979,0.18661,0.12645,0.18141,0.14004,0.18318,0.1963,0.11582,0.17443
Bari2,113,0.18076,0.18001,0.22205,0.21966,0.1693,0.21991,0.24875,0.21059,0.20614,0.24744,0.17705,0.24777,0.21546,0.19864,0.18438,0.25213,0.19642,0.15356,0.20359,0.21702
Bari2,114,0.16965,0.14719,0.18643,0.18452,0.12182,0.16583,0.17337,0.17627,0.17556,0.1661,0.16468,0.17397,0.17567,0.17741,0.1726,0.17047,0.18436,0.19917,0.16687,0.1825
Bari2,116,0.20026,0.17482,0.15812,0.11966,0.1949,0.19598,0.16041,0.17904,0.18212,0.17651,0.13105,0.1826,0.1917,0.17585,0.18212,0.18615,0.19936,0.17036,0.14667,0.18157
Bari2,117,0.1623,0.17896,0.15605,0.14681,0.15768,0.18195,0.19772,0.15396,0.17099,0.1498,0.1344,0.16538,0.15949,0.16674,0.15569,0.17253,0.1805,0.16311,0.1257,0.13911
Bari2,119,0.16937,0.17706,0.18517,0.17507,0.17465,0.17187,0.17033,0.18511,0.1703,0.17389,0.24031,0.18065,0.17437,0.17877,0.17737,0.18525,0.16918,0.17636,0.16449,0.16584
Bari2,120,0.1411,0.14657,0.14915,0.15996,0.15932,0.17328,0.16053,0.16204,0.1281,0.17206,0.12066,0.16948,0.16433,0.15703,0.1906,0.15295,0.15538,0.16211,0.14915,0.19053
Bari2,121,0.20455,0.20811,0.19968,0.19688,0.20026,0.20653,0.18899,0.2018,0.18578,0.1907,0.18335,0.21226,0.18984,0.18984,0.22177,0.18935,0.22191,0.19566,0.20721,0.2091
Bari2,122,0.18123,0.19695,0.17936,0.19439,0.20466,0.17783,0.19008,0.21344,0.19914,0.18883,0.19037,0.19651,0.20583,0.21095,0.21084,0.19684,0.18328,0.21347,0.18843,0.19296
Bari2,123,0.20362,0.20435,0.14986,0.22138,0.14937,0.22758,0.20776,0.19924,0.23075,0.23744,0.22345,0.17844,0.17358,0.15351,0.18306,0.21712,0.1653,0.1917,0.22856,0.20155
Bari2,124,0.18915,0.161,0.2169,0.18342,0.1676,0.21014,0.17667,0.15965,0.1571,0.16537,0.22255,0.21944,0.15098,0.17579,0.17603,0.18462,0.17062,0.19114,0.19098,0.16092
Bari2,125,0.18282,0.1629,0.19655,0.19137,0.18429,0.19707,0.21314,0.17987,0.16637,0.18134,0.1706,0.19513,0.17065,0.17117,0.19897,0.17117,0.25838,0.1659,0.19598,0.17787
Bari2,127,0.19113,0.20875,0.19668,0.17013,0.20149,0.19432,0.19386,0.20899,0.20987,0.20542,0.19946,0.19335,0.20214,0.19737,0.17887,0.20325,0.19603,0.20311,0.19076,0.1717
Bari2,128,0.14272,0.13489,0.16741,0.14469,0.14013,0.1639,0.16636,0.15756,0.14198,0.15534,0.1288,0.17314,0.16809,0.15639,0.13465,0.18699,0.16384,0.15873,0.13865,0.15614
Bari2,129,0.18864,0.1952,0.19619,0.18076,0.20653,0.19495,0.2029,0.1561,0.18982,0.18811,0.19693,0.19417,0.18485,0.19849,0.1774,0.20318,0.19724,0.19147,0.18566,0.20051
Bari2,130,0.16525,0.17523,0.1852,0.1761,0.12325,0.1684,0.13217,0.17453,0.12465,0.15702,0.10837,0.14582,0.11135,0.20445,0.16893,0.15527,0.1698,0.12097,0.188,0.18328
Bari2,131,0.15081,0.17788,0.14893,0.15131,0.1537,0.13966,0.14956,0.15482,0.15482,0.1537,0.15432,0.16385,0.16861,0.175,0.20257,0.20295,0.1562,0.16372,0.1735,0.14154
Bari2,132,0.21309,0.21309,0.21492,0.16523,0.17864,0.16599,0.17864,0.19191,0.19175,0.15784,0.19404,0.17742,0.19549,0.16088,0.2336,0.17095,0.16767,0.19907,0.21988,0.18535
Bari2,133,0.15113,0.16543,0.19947,0.21492,0.1857,0.18746,0.18623,0.19013,0.14401,0.16321,0.18111,0.19044,0.1639,0.22234,0.19511,0.15602,0.16902,0.17124,0.19694,0.1473
Bari2,134,0.15703,0.18045,0.22025,0.18888,0.14146,0.25034,0.21651,0.24226,0.22131,0.20855,0.15844,0.19941,0.21651,0.22044,0.21569,0.19567,0.19204,0.19614,0.16839,0.21264
Bari2,135,0.16983,0.1493,0.15702,0.16936,0.17319,0.15628,0.22566,0.16493,0.15252,0.14749,0.15527,0.15695,0.1601,0.16561,0.16104,0.17205,0.16091,0.1546,0.14809,0.18493
Bari2,136,0.18619,0.17007,0.18994,0.18732,0.16191,0.1711,0.17719,0.21038,0.19163,0.16988,0.13304,0.1471,0.19107,0.23306,0.15563,0.19453,0.17719,0.18047,0.17119,0.17288
Bari2,137,0.1985,0.25955,0.18002,0.22449,0.2395,0.17517,0.19493,0.20262,0.17773,0.15833,0.18697,0.20372,0.15714,0.1942,0.21525,0.1813,0.21992,0.22257,0.14899,0.18194
Bari2,138,0.20266,0.20869,0.20772,0.20501,0.18868,0.20103,0.18645,0.18988,0.19163,0.1979,0.18298,0.17674,0.16631,0.19778,0.19826,0.18259,0.18801,0.19079,0.17837,0.18144
Bari2,139,0.18875,0.16686,0.1983,0.17129,0.21672,0.19136,0.1719,0.14132,0.19396,0.19987,0.21238,0.1593,0.1798,0.18823,0.18128,0.15626,0.15036,0.15713,0.15705,0.20569
