collection.site,maternal.id,seed.1,seed.2,seed.3,seed.4,seed.5,seed.6,seed.7,seed.8,seed.9,seed.10,seed.11,seed.12,seed.13,seed.14,seed.15,seed.16,seed.17,seed.18,seed.19,seed.20
Besev,432,0.0921,0.11118,0.11681,0.12256,0.1236,0.11474,0.1009,0.08628,0.10297,0.11267,0.13007,0.10607,0.12412,0.11435,0.11441,0.10736,0.11247,0.12787,0.08589,0.11629
Besev,435,0.15438,0.16911,0.15834,0.13551,0.15642,0.12747,0.14673,0.14605,0.1333,0.14407,0.15324,0.13653,0.15426,0.1184,0.15381,0.12832,0.15596,0.1312,0.15902,0.12497
Besev,436,0.17664,0.17117,0.19947,0.1798,0.16244,0.1822,0.18724,0.15836,0.17678,0.17208,0.17462,0.17635,0.18781,0.18182,0.15337,0.181,0.18162,0.17601,0.15083,0.18014
Besev,437,0.16887,0.16887,0.17702,0.17827,0.17976,0.17714,0.1717,0.17288,0.17498,0.22384,0.17392,0.18161,0.17684,0.17887,0.17818,0.17364,0.16863,0.16586,0.17495,0.17164
Besev,438,0.17189,0.16265,0.17378,0.17018,0.1706,0.16996,0.16674,0.17306,0.18264,0.17598,0.15795,0.19158,0.1778,0.17018,0.19165,0.18825,0.14781,0.1639,0.17083,0.19491
Besev,439,0.15219,0.14568,0.09893,0.13893,0.15094,0.13825,0.14248,0.13756,0.17002,0.14865,0.14625,0.14579,0.12956,0.16065,0.18123,0.14591,0.13002,0.1195,0.13345,0.11207
Besev,441,0.17908,0.15228,0.14442,0.13315,0.15294,0.14264,0.14538,0.15325,0.17502,0.12624,0.14594,0.17558,0.1533,0.12477,0.15269,0.14777,0.15467,0.15431,0.15594,0.15274
Besev,442,0.14827,0.1813,0.15086,0.14707,0.17196,0.16744,0.14472,0.13013,0.13803,0.1449,0.19263,0.15165,0.16292,0.15068,0.16551,0.14441,0.11169,0.15966,0.14592,0.12663
Besev,444,0.13801,0.15874,0.15288,0.15563,0.13568,0.17869,0.15635,0.1487,0.16202,0.15545,0.15253,0.15193,0.14966,0.12768,0.13956,0.13783,0.15032,0.16292,0.14112,0.11274
Besev,446,0.15809,0.18813,0.15285,0.1746,0.17883,0.18226,0.17627,0.16203,0.15956,0.16299,0.17464,0.16651,0.19081,0.17891,0.14619,0.15583,0.17497,0.1663,0.17489,0.16823
Besev,447,0.14356,0.13676,0.14787,0.13778,0.16668,0.15591,0.14945,0.18074,0.16317,0.15841,0.18335,0.14208,0.16702,0.20885,0.16158,0.14118,0.15342,0.15444,0.17224,0.17235
Besev,448,0.18665,0.17605,0.18649,0.18626,0.1996,0.176,0.15691,0.18024,0.1717,0.17499,0.17828,0.17867,0.17544,0.17036,0.20708,0.17588,0.17471,0.18292,0.1996,0.16573
Besev,449,0.15244,0.17376,0.14619,0.16479,0.14869,0.14759,0.15217,0.15177,0.17436,0.13384,0.14533,0.17017,0.16393,0.15084,0.18379,0.17104,0.13862,0.14334,0.17761,0.15091
Besev,451,0.18208,0.14635,0.14915,0.14878,0.16071,0.08926,0.14289,0.12432,0.13898,0.14981,0.15791,0.13641,0.14429,0.15261,0.14068,0.15386,0.14009,0.14679,0.12595,0.15512
Besev,452,0.13737,0.12286,0.12802,0.12213,0.12891,0.14873,0.13695,0.1277,0.13496,0.12086,0.1603,0.12129,0.12491,0.13233,0.13475,0.14311,0.13154,0.12292,0.13306,0.12581
Besev,453,0.12842,0.11915,0.12111,0.12653,0.10651,0.1323,0.13981,0.1299,0.14459,0.14225,0.12159,0.13301,0.1323,0.10843,0.1333,0.12043,0.1238,0.11732,0.13099,0.12772
Besev,454,0.15979,0.18331,0.17319,0.1327,0.18567,0.15852,0.15151,0.14714,0.14116,0.14116,0.16215,0.14403,0.15927,0.16071,0.14662,0.14334,0.13995,0.14674,0.16278,0.15427
Besev,456,0.13874,0.14071,0.12557,0.15985,0.14487,0.18165,0.13776,0.14933,0.14979,0.16583,0.1516,0.13707,0.13806,0.15365,0.15062,0.12323,0.13594,0.14873,0.16553,0.15002
Besev,457,0.12757,0.12033,0.16348,0.14869,0.15654,0.14698,0.17827,0.15061,0.13954,0.15895,0.09579,0.13542,0.15694,0.13944,0.14507,0.14497,0.1502,0.12475,0.12315,0.12214
Besev,458,0.12823,0.14166,0.14858,0.12444,0.18432,0.17698,0.15687,0.15829,0.13711,0.1206,0.13787,0.12995,0.15598,0.18278,0.15557,0.14971,0.14853,0.15101,0.15166,0.13539
Besev,459,0.17412,0.15239,0.17987,0.15785,0.16373,0.17465,0.17655,0.16812,0.16978,0.17364,0.17233,0.14871,0.18729,0.15904,0.18373,0.18338,0.18563,0.19228,0.16337,0.17305
Besev,460,0.17724,0.16188,0.15629,0.21108,0.16155,0.15011,0.1636,0.15591,0.1911,0.15801,0.15194,0.14968,0.14748,0.16053,0.17434,0.168,0.16333,0.17386,0.15323,0.16832
Besev,461,0.12168,0.14515,0.1358,0.1555,0.12894,0.14247,0.15142,0.15972,0.15032,0.12854,0.14843,0.14132,0.16335,0.16634,0.16489,0.13605,0.13297,0.12262,0.1552,0.13396
Besev,462,0.15205,0.15877,0.1341,0.17969,0.18472,0.17735,0.16753,0.1687,0.15737,0.16613,0.17326,0.17957,0.16537,0.18881,0.14246,0.15339,0.17765,0.19185,0.16771,0.15234
Besev,463,0.08253,0.10131,0.10573,0.11352,0.10891,0.09887,0.1067,0.10804,0.10652,0.08893,0.10016,0.11821,0.11186,0.1126,0.06489,0.10449,0.11646,0.09643,0.09289,0.10564
Besev,464,0.15598,0.13328,0.13453,0.13754,0.12622,0.17345,0.15808,0.17731,0.15638,0.13943,0.15219,0.1361,0.13884,0.17273,0.14362,0.14133,0.15448,0.16344,0.1043,0.1323
Besev,466,0.14125,0.14784,0.15683,0.12516,0.12003,0.182,0.15338,0.13566,0.14109,0.14048,0.12754,0.14185,0.14475,0.14612,0.13942,0.135,0.15591,0.1614,0.15607,0.14363
Besev,467,0.18698,0.1421,0.14326,0.18698,0.14335,0.14007,0.14404,0.14042,0.13799,0.14072,0.1431,0.14138,0.14387,0.14052,0.1456,0.1445,0.15282,0.13898,0.14698,0.14112
Besev,468,0.16465,0.1464,0.13761,0.15789,0.13601,0.15327,0.13909,0.17487,0.13871,0.15696,0.13904,0.1486,0.15816,0.07918,0.14245,0.13942,0.14118,0.15679,0.15382,0.14217
Besev,469,0.15085,0.15298,0.15128,0.12979,0.15404,0.14589,0.14483,0.15326,0.16348,0.15518,0.15475,0.14752,0.15156,0.13773,0.20432,0.15709,0.16121,0.14965,0.14632,0.15688
Besev,470,0.1795,0.15709,0.17316,0.15533,0.19355,0.18022,0.17127,0.17682,0.16696,0.17532,0.17009,0.1456,0.16382,0.18048,0.16657,0.18636,0.15651,0.18133,0.1599,0.17205
Besev,471,0.0903,0.11933,0.10508,0.10374,0.09994,0.11717,0.09381,0.10467,0.10526,0.10847,0.10607,0.11963,0.0934,0.11028,0.08738,0.10859,0.10526,0.09795,0.09428,0.14305
Besev,473,0.21498,0.17674,0.14103,0.133,0.1526,0.1664,0.15042,0.15293,0.14078,0.14692,0.16698,0.14947,0.16624,0.15392,0.14807,0.1468,0.13448,0.15417,0.1655,0.15767
Besev,474,0.19229,0.17624,0.14511,0.15533,0.18038,0.15857,0.16203,0.19073,0.15566,0.1873,0.20115,0.17475,0.16957,0.15042,0.16239,0.18012,0.15436,0.17365,0.16161,0.1675
Besev,475,0.15435,0.13176,0.13286,0.12606,0.12784,0.15033,0.14685,0.12541,0.14606,0.16725,0.12611,0.14402,0.1613,0.12874,0.12397,0.16462,0.15618,0.14785,0.14249,0.13926
Besev,476,0.17434,0.16448,0.16486,0.17939,0.16275,0.18788,0.16335,0.15812,0.19424,0.19887,0.17844,0.1741,0.16864,0.19097,0.17731,0.17464,0.17048,0.18265,0.15753,0.18141
Besev,477,0.1264,0.1311,0.15516,0.13879,0.15299,0.14747,0.17045,0.17452,0.14431,0.13762,0.14811,0.11871,0.12251,0.12794,0.09944,0.16502,0.13544,0.12694,0.14684,0.12061
Besev,478,0.19303,0.155,0.14661,0.16175,0.15474,0.17093,0.18496,0.14725,0.1492,0.16059,0.154,0.16154,0.15932,0.16249,0.15568,0.15832,0.16544,0.13506,0.13527,0.14413
Besev,479,0.17701,0.17178,0.13545,0.18036,0.16843,0.18385,0.14886,0.13746,0.16012,0.12835,0.18157,0.17111,0.15382,0.125,0.15409,0.17285,0.13594,0.17098,0.1636,0.14336
Besev,480,0.13219,0.13346,0.17123,0.13167,0.15164,0.11811,0.188,0.13681,0.16609,0.13204,0.14173,0.16304,0.13808,0.17474,0.15767,0.16058,0.1646,0.16021,0.12571,0.14702
Besev,481,0.18977,0.17304,0.19353,0.16783,0.17869,0.17343,0.1623,0.1562,0.17653,0.17609,0.169,0.18218,0.14933,0.18284,0.16362,0.15709,0.16844,0.18871,0.18329,0.17143
Besev,483,0.17981,0.16107,0.17162,0.17932,0.15526,0.14028,0.16688,0.13725,0.17203,0.15141,0.15133,0.12776,0.15599,0.15125,0.16311,0.18414,0.17342,0.17252,0.14936,0.17179
Besev,484,0.13336,0.12816,0.13779,0.17974,0.13125,0.15683,0.13245,0.15866,0.1574,0.17166,0.13435,0.13217,0.16681,0.12099,0.15023,0.15388,0.13104,0.12401,0.16899,0.1283
Besev,485,0.15314,0.17054,0.15386,0.14238,0.177,0.14992,0.16516,0.12507,0.11763,0.14947,0.13368,0.1544,0.13592,0.15171,0.13359,0.14489,0.12929,0.12229,0.18328,0.15153
Besev,486,0.16271,0.15617,0.13867,0.12684,0.12156,0.11614,0.17698,0.10802,0.13603,0.14534,0.14554,0.14243,0.15274,0.16588,0.14157,0.16535,0.1608,0.1534,0.13048,0.14336
Besev,487,0.1702,0.1482,0.16273,0.11093,0.1538,0.16175,0.15851,0.1702,0.12505,0.16736,0.11921,0.14706,0.16663,0.15786,0.13098,0.15749,0.15583,0.12717,0.15672,0.13813
Besev,488,0.1111,0.11458,0.08616,0.10046,0.12317,0.08875,0.09474,0.10578,0.10676,0.10564,0.08893,0.11025,0.11494,0.08262,0.12433,0.09711,0.10314,0.11235,0.1233,0.11579
Besev,489,0.09923,0.10728,0.11792,0.1009,0.12476,0.11488,0.09289,0.08028,0.12324,0.11523,0.11523,0.11306,0.13226,0.12334,0.10966,0.10176,0.1165,0.12547,0.1202,0.10262
Besev,490,0.151,0.15433,0.14576,0.16011,0.15752,0.12659,0.14712,0.15412,0.15446,0.13726,0.1493,0.14943,0.13964,0.1221,0.13441,0.1546,0.18397,0.13244,0.16595,0.141
Besev,491,0.09047,0.10319,0.09236,0.10913,0.10972,0.10345,0.07755,0.08903,0.09575,0.09895,0.09432,0.12649,0.10978,0.12616,0.11566,0.09791,0.08577,0.09582,0.10221,0.11057
Besev,492,0.14764,0.18105,0.14507,0.15022,0.17263,0.15245,0.18467,0.16386,0.15279,0.16748,0.1949,0.18641,0.15856,0.17716,0.15739,0.14917,0.18565,0.15537,0.17667,0.17514
Besev,493,0.13324,0.1281,0.15796,0.16027,0.13945,0.14667,0.17798,0.19131,0.14474,0.18018,0.1858,0.15079,0.13982,0.1501,0.13709,0.12858,0.15598,0.15315,0.13618,0.14581
Besev,495,0.15845,0.12976,0.12441,0.14205,0.16729,0.142,0.15037,0.15567,0.14157,0.16791,0.11585,0.16108,0.13483,0.12737,0.14482,0.13579,0.13411,0.15658,0.10634,0.17264
