collection.site,maternal.id,seed.1,seed.2,seed.3,seed.4,seed.5,seed.6,seed.7,seed.8,seed.9,seed.10,seed.11,seed.12,seed.13,seed.14,seed.15,seed.16,seed.17,seed.18,seed.19,seed.20
Cermik,521,0.12632,0.1218,0.10759,0.12317,0.10983,0.11944,0.10309,0.1157,0.10744,0.10592,0.13049,0.11776,0.11245,0.11199,0.114,0.12422,0.10569,0.11847,0.12185,0.12193
Cermik,523,0.16761,0.20526,0.16492,0.09233,0.13044,0.12763,0.21429,0.2069,0.13103,0.11414,0.16421,0.12493,0.12974,0.20186,0.17524,0.16597,0.1295,0.19048,0.10546,0.18673
Cermik,524,0.1017,0.11317,0.10807,0.12023,0.11659,0.11302,0.11306,0.1055,0.0943,0.12203,0.09284,0.10961,0.10727,0.10696,0.10803,0.1131,0.11962,0.11329,0.11202,0.106
Cermik,525,0.11053,0.11638,0.12098,0.10445,0.10951,0.12511,0.118,0.10898,0.11883,0.10987,0.12517,0.11328,0.1178,0.11744,0.11724,0.13413,0.11691,0.12008,0.09949,0.11126
Cermik,526,0.12532,0.12815,0.14648,0.12588,0.13793,0.12755,0.1447,0.13949,0.14377,0.13782,0.12309,0.13767,0.12658,0.13744,0.1219,0.11654,0.16433,0.12216,0.14127,0.1341
Cermik,527,0.14682,0.15083,0.13502,0.13688,0.13911,0.14951,0.14308,0.14649,0.1454,0.14719,0.14805,0.12926,0.12961,0.1444,0.13077,0.1496,0.13554,0.14261,0.14737,0.14408
Cermik,528,0.09712,0.09014,0.11085,0.1005,0.10754,0.11335,0.10993,0.10448,0.10134,0.11448,0.12113,0.10754,0.11247,0.11247,0.10652,0.11296,0.09972,0.11842,0.10631,0.11567
Cermik,529,0.13711,0.1447,0.14431,0.14242,0.14409,0.14629,0.1438,0.13191,0.13945,0.14863,0.15016,0.1315,0.14479,0.14071,0.13909,0.14726,0.12167,0.15037,0.14044,0.14102
Cermik,530,0.10807,0.10657,0.1067,0.11244,0.10645,0.1037,0.09804,0.10597,0.11966,0.10668,0.10518,0.09963,0.11105,0.11005,0.10391,0.11304,0.11177,0.1052,0.11065,0.10447
Cermik,531,0.20695,0.11548,0.18644,0.16413,0.14213,0.21901,0.10713,0.14393,0.21034,0.19014,0.17988,0.21774,0.09846,0.20167,0.1637,0.18454,0.1452,0.14689,0.16762,0.21066
Cermik,532,0.10446,0.107,0.11057,0.10336,0.10857,0.1039,0.11936,0.11105,0.11354,0.11069,0.11359,0.11188,0.10291,0.11248,0.11552,0.10815,0.09962,0.10698,0.11226,0.11275
Cermik,533,0.10015,0.10737,0.11363,0.11303,0.10388,0.10992,0.11163,0.11469,0.1086,0.12027,0.1137,0.10422,0.10566,0.10617,0.10438,0.10862,0.1145,0.10763,0.11211,0.10503
Cermik,534,0.13989,0.12715,0.12224,0.12302,0.11971,0.13458,0.09867,0.11407,0.12645,0.12159,0.12862,0.12163,0.13205,0.1345,0.11432,0.1477,0.13466,0.14422,0.12106,0.12775
Cermik,535,0.1919,0.20388,0.16426,0.13063,0.1705,0.16999,0.12516,0.21521,0.16044,0.16541,0.17471,0.16503,0.11815,0.09828,0.16426,0.21789,0.14388,0.09892,0.22693,0.18388
Cermik,537,0.12,0.11281,0.12122,0.12079,0.12551,0.11548,0.11957,0.11343,0.11888,0.11215,0.10997,0.10297,0.11531,0.11307,0.12742,0.12722,0.12006,0.11845,0.09499,0.11917
Cermik,538,0.21046,0.17501,0.17483,0.18981,0.16551,0.17063,0.20187,0.16679,0.23458,0.08274,0.21594,0.12677,0.10942,0.20297,0.16204,0.20023,0.15437,0.15765,0.18835,0.13957
Cermik,539,0.17289,0.23506,0.19957,0.15432,0.10122,0.10246,0.1843,0.25157,0.18871,0.18898,0.21759,0.16684,0.18816,0.16285,0.17261,0.17495,0.1308,0.1733,0.16931,0.15432
Cermik,540,0.14341,0.14602,0.13247,0.13731,0.13931,0.14524,0.14152,0.15511,0.13671,0.15532,0.14388,0.14788,0.14027,0.14513,0.12998,0.14851,0.13477,0.13346,0.13974,0.14686
Cermik,542,0.11838,0.10473,0.17473,0.15457,0.14536,0.16711,0.1687,0.10457,0.14362,0.13949,0.2068,0.13774,0.24648,0.16775,0.15394,0.12981,0.11615,0.13489,0.0779,0.15584
Cermik,543,0.13995,0.12929,0.13639,0.13068,0.1451,0.12357,0.14866,0.13423,0.11776,0.13717,0.14372,0.11586,0.15256,0.12431,0.14419,0.11854,0.13449,0.15147,0.12452,0.13163
Cermik,544,0.10738,0.111,0.11508,0.10925,0.10999,0.09937,0.10703,0.10998,0.11294,0.10922,0.11091,0.10904,0.11494,0.12431,0.10817,0.10654,0.10841,0.11334,0.10937,0.10463
Cermik,545,0.05873,0.14755,0.15744,0.14329,0.25075,0.19416,0.15283,0.19292,0.15732,0.14587,0.17001,0.12004,0.1525,0.15216,0.15766,0.1763,0.13779,0.17855,0.19966,0.13857
Cermik,546,0.11757,0.10899,0.10917,0.12878,0.12201,0.12752,0.12001,0.12168,0.11724,0.1202,0.12223,0.11598,0.11583,0.10854,0.11757,0.11324,0.1293,0.11028,0.10099,0.10488
Cermik,548,0.11776,0.12487,0.14152,0.13172,0.1505,0.11035,0.14039,0.13935,0.14412,0.13376,0.12908,0.12084,0.12509,0.13602,0.13983,0.14295,0.1182,0.14729,0.12539,0.14447
Cermik,549,0.11728,0.12919,0.12666,0.13358,0.13639,0.12666,0.13354,0.14024,0.13325,0.15944,0.11953,0.13591,0.13012,0.12324,0.14476,0.11008,0.12706,0.13329,0.14967,0.12585
Cermik,552,0.1477,0.169,0.17912,0.15582,0.13651,0.17038,0.12716,0.14325,0.17222,0.18923,0.24319,0.12992,0.22464,0.16333,0.19414,0.1385,0.15781,0.17391,0.26602,0.19966
Cermik,553,0.11915,0.11695,0.1197,0.12195,0.12323,0.12131,0.11853,0.1032,0.12642,0.11784,0.10017,0.11798,0.1132,0.10517,0.10859,0.11195,0.12187,0.10659,0.12762,0.12037
Cermik,554,0.14061,0.17471,0.17319,0.13173,0.17896,0.17304,0.12413,0.21481,0.20569,0.15846,0.14783,0.07918,0.13628,0.15664,0.22134,0.15269,0.23713,0.18443,0.19202,0.15512
Cermik,556,0.09442,0.10994,0.10489,0.10446,0.10981,0.10439,0.10668,0.10077,0.09562,0.10589,0.11193,0.1011,0.10891,0.11277,0.10439,0.11144,0.11393,0.09705,0.1006,0.12812
Cermik,557,0.11687,0.10763,0.11155,0.11281,0.11548,0.12499,0.12579,0.0948,0.11957,0.12502,0.11536,0.10899,0.12262,0.11417,0.11301,0.11533,0.11424,0.12234,0.11093,0.12848
Cermik,558,0.12089,0.10516,0.11231,0.1077,0.12946,0.12217,0.11472,0.12407,0.1139,0.10269,0.1159,0.10523,0.11573,0.12024,0.11201,0.12495,0.1255,0.12736,0.11377,0.11306
Cermik,559,0.11786,0.12728,0.12263,0.11417,0.11351,0.11092,0.12177,0.11306,0.10989,0.10068,0.1156,0.10245,0.11717,0.1108,0.1168,0.11655,0.10948,0.10664,0.09736,0.10348
Cermik,560,0.14066,0.13287,0.15525,0.14053,0.14193,0.14556,0.14411,0.14332,0.14162,0.12836,0.14362,0.13663,0.14347,0.14359,0.1392,0.14114,0.15165,0.13429,0.12954,0.1521
Cermik,561,0.16561,0.11888,0.27417,0.15377,0.15533,0.1614,0.16592,0.16203,0.14785,0.15969,0.22542,0.20159,0.11374,0.18243,0.15938,0.18196,0.15455,0.1952,0.12122,0.19972
Cermik,562,0.14234,0.15368,0.13607,0.14077,0.13782,0.14348,0.14841,0.15639,0.13692,0.1465,0.14828,0.13723,0.13456,0.13617,0.14727,0.14077,0.12912,0.13545,0.13514,0.14278
Cermik,563,0.13064,0.10571,0.11462,0.10764,0.12061,0.11502,0.11397,0.11187,0.11499,0.12419,0.11698,0.12351,0.12098,0.10801,0.11025,0.12385,0.12459,0.10179,0.105,0.11954
Cermik,565,0.10604,0.10114,0.11338,0.10227,0.0992,0.11301,0.10717,0.10548,0.11005,0.11571,0.10555,0.10805,0.10518,0.11135,0.10368,0.10223,0.10624,0.10673,0.1023,0.11652
Cermik,566,0.1528,0.13827,0.14765,0.12784,0.13945,0.1316,0.13099,0.12865,0.13177,0.11727,0.14606,0.12509,0.12313,0.11158,0.14474,0.14535,0.14287,0.12997,0.12001,0.12445
Cermik,568,0.14342,0.14586,0.13766,0.13202,0.14141,0.14003,0.15913,0.12908,0.15774,0.14211,0.13663,0.14316,0.14584,0.14192,0.14316,0.14507,0.14376,0.13797,0.1433,0.14218
Cermik,569,0.11867,0.12122,0.11973,0.10602,0.10642,0.11853,0.11693,0.12365,0.11478,0.13594,0.11438,0.12412,0.10635,0.12285,0.11602,0.12267,0.12362,0.12412,0.11449,0.13212
Cermik,570,0.11205,0.10806,0.11514,0.11027,0.10151,0.1143,0.12129,0.11143,0.11232,0.09962,0.11051,0.10542,0.11456,0.1151,0.11064,0.10752,0.10977,0.1098,0.11224,0.10673
Cermik,571,0.09624,0.11156,0.11163,0.11556,0.10812,0.11828,0.11325,0.09944,0.10102,0.11422,0.11622,0.11491,0.10747,0.1012,0.10564,0.11053,0.1117,0.12128,0.09561,0.09865
Cermik,572,0.12887,0.13283,0.13019,0.13468,0.13333,0.13273,0.13577,0.13284,0.13035,0.13696,0.13502,0.12902,0.13076,0.13241,0.13137,0.13154,0.13048,0.18171,0.13148,0.13435
Cermik,573,0.13392,0.12427,0.14455,0.12846,0.12316,0.12577,0.13719,0.12938,0.11033,0.14922,0.15134,0.12396,0.11827,0.13741,0.14852,0.13062,0.14596,0.12749,0.12973,0.14314
Cermik,574,0.11273,0.12565,0.12089,0.10996,0.11948,0.12071,0.10823,0.11062,0.11406,0.11762,0.12674,0.10961,0.11078,0.13318,0.12818,0.10794,0.11749,0.11887,0.1086,0.10597
Cermik,575,0.10235,0.10963,0.11173,0.10249,0.12274,0.11137,0.11209,0.10328,0.09287,0.10738,0.1158,0.1129,0.09717,0.10889,0.11137,0.12105,0.10986,0.11251,0.09656,0.10812
Cermik,576,0.14972,0.13416,0.14917,0.13321,0.13789,0.1401,0.14088,0.14213,0.13952,0.14539,0.14577,0.15185,0.14103,0.14597,0.14077,0.1344,0.14452,0.15632,0.12817,0.13582
Cermik,577,0.10869,0.10929,0.10551,0.10922,0.09322,0.11515,0.11719,0.10261,0.10354,0.09164,0.10683,0.10408,0.11801,0.12044,0.10386,0.10168,0.1138,0.10808,0.11587,0.10472
Cermik,578,0.12353,0.1178,0.12287,0.10493,0.14067,0.11175,0.12547,0.12108,0.12943,0.11597,0.11343,0.11828,0.11999,0.11537,0.12989,0.12476,0.11885,0.11357,0.11509,0.11657
Cermik,579,0.13899,0.1347,0.14386,0.14269,0.16248,0.14436,0.13373,0.14417,0.14234,0.1536,0.13836,0.14226,0.14545,0.14982,0.14304,0.13451,0.14401,0.13357,0.14557,0.14577
Cermik,580,0.19485,0.12327,0.15581,0.19024,0.20542,0.13655,0.16096,0.19295,0.20759,0.07134,0.20136,0.18211,0.10876,0.16042,0.19566,0.11405,0.15892,0.13913,0.17275,0.1554
Cermik,581,0.17557,0.179,0.20445,0.08503,0.11929,0.16888,0.1617,0.12875,0.10558,0.21505,0.12793,0.0679,0.18308,0.16236,0.12793,0.13903,0.16415,0.15289,0.13674,0.16464
Cermik,582,0.11817,0.12669,0.12665,0.11576,0.11726,0.12108,0.12212,0.11984,0.12665,0.09628,0.11215,0.12171,0.11867,0.1247,0.10816,0.13164,0.11394,0.12233,0.1222,0.12382
Cermik,583,0.13015,0.12522,0.15281,0.14998,0.12756,0.13311,0.12467,0.12828,0.12485,0.14912,0.13606,0.12307,0.12134,0.11605,0.14111,0.1307,0.12091,0.12836,0.11112,0.14037
Cermik,584,0.12687,0.13509,0.1265,0.11676,0.1265,0.15454,0.12812,0.14015,0.14529,0.1355,0.12186,0.13645,0.12542,0.14251,0.13998,0.14711,0.1056,0.13629,0.13674,0.13641
Cermik,585,0.11621,0.12995,0.12538,0.13066,0.13541,0.13515,0.14432,0.14986,0.1327,0.10674,0.12757,0.14867,0.14076,0.13452,0.13816,0.11402,0.12349,0.13181,0.12486,0.14236
Cermik,586,0.11929,0.11639,0.11542,0.11071,0.1054,0.10757,0.10253,0.11532,0.13155,0.11732,0.10981,0.12978,0.11418,0.12824,0.1217,0.11081,0.12196,0.11208,0.11438,0.11943
Cermik,587,0.17615,0.17256,0.15707,0.18272,0.15918,0.21854,0.13501,0.09312,0.1852,0.0982,0.10279,0.16649,0.08383,0.16389,0.18309,0.14183,0.18396,0.1282,0.14877,0.10601
Cermik,588,0.12962,0.14523,0.13859,0.13856,0.14012,0.14383,0.14621,0.12105,0.13479,0.14062,0.13977,0.14346,0.14056,0.13637,0.1494,0.13508,0.14386,0.15053,0.13152,0.13626
Cermik,589,0.11166,0.10622,0.11022,0.10709,0.11004,0.09421,0.10067,0.12766,0.10471,0.10941,0.09916,0.11282,0.10727,0.10688,0.09726,0.11001,0.10025,0.09832,0.11429,0.11429
Cermik,590,0.11292,0.09575,0.11965,0.10074,0.10018,0.10405,0.11946,0.10725,0.11003,0.12239,0.11209,0.10014,0.09875,0.10725,0.11119,0.09766,0.10131,0.10845,0.10405,0.10976
Cermik,591,0.21261,0.24531,0.18992,0.24159,0.16812,0.10453,0.18312,0.15992,0.23621,0.21825,0.18376,0.16671,0.14607,0.18107,0.14735,0.14838,0.14543,0.1671,0.19018,0.14376
Cermik,592,0.11936,0.12451,0.13235,0.12621,0.10241,0.15631,0.13394,0.13971,0.14945,0.13544,0.12518,0.12462,0.12503,0.12652,0.12709,0.11725,0.1275,0.1258,0.12534,0.13054
Cermik,595,0.14455,0.13486,0.12756,0.12861,0.13345,0.12452,0.14688,0.13469,0.13552,0.12188,0.12698,0.13601,0.13874,0.14847,0.14301,0.10242,0.14133,0.15304,0.14138,0.13447
Cermik,596,0.11677,0.11908,0.10083,0.11181,0.10657,0.11567,0.10833,0.10452,0.10932,0.10901,0.11094,0.10732,0.09034,0.11936,0.11202,0.10264,0.10391,0.10356,0.11475,0.0942
Cermik,597,0.16498,0.17886,0.1814,0.25715,0.18117,0.18001,0.17631,0.11618,0.14428,0.11005,0.14439,0.17076,0.07929,0.13942,0.13584,0.15145,0.18256,0.1215,0.1415,0.16868
