collection.site,maternal.id,seed.1,seed.2,seed.3,seed.4,seed.5,seed.6,seed.7,seed.8,seed.9,seed.10,seed.11,seed.12,seed.13,seed.14,seed.15,seed.16,seed.17,seed.18,seed.19,seed.20
Cudi2,840,0.13074,0.14097,0.15863,0.13905,0.14018,0.13373,0.14401,0.14041,0.13606,0.13606,0.1334,0.09999,0.14513,0.13859,0.14275,0.12256,0.14261,0.14293,0.13676,0.14162
Cudi2,841,0.14299,0.14519,0.12423,0.15443,0.14845,0.1274,0.14915,0.14492,0.12035,0.11234,0.15708,0.13735,0.09376,0.14149,0.16412,0.15672,0.12828,0.13303,0.13339,0.14739
Cudi2,842,0.19056,0.2011,0.20431,0.22524,0.19658,0.18791,0.21159,0.19259,0.21625,0.21392,0.19681,0.20469,0.19406,0.25074,0.20954,0.18688,0.20781,0.21573,0.20087,0.20651
Cudi2,843,0.14125,0.13413,0.14869,0.13561,0.1314,0.1596,0.15309,0.1446,0.13977,0.12954,0.15136,0.14113,0.1583,0.13555,0.12898,0.17144,0.18495,0.11268,0.14956,0.12737
Cudi2,846,0.14639,0.14082,0.1563,0.16279,0.14446,0.16367,0.141,0.15266,0.14943,0.1352,0.13801,0.14155,0.14266,0.13478,0.15864,0.14533,0.13289,0.15303,0.13828,0.15676
Cudi2,847,0.18763,0.16696,0.18259,0.18584,0.14126,0.13058,0.17841,0.15646,0.17918,0.1562,0.17064,0.17422,0.17747,0.14425,0.17055,0.17217,0.15373,0.16022,0.13605,0.17627
Cudi2,848,0.13745,0.1386,0.10468,0.13154,0.12802,0.11774,0.11953,0.12985,0.08362,0.12668,0.13835,0.11967,0.12439,0.13715,0.14525,0.12946,0.10979,0.11476,0.12916,0.12553
Cudi2,849,0.15659,0.13548,0.13236,0.12586,0.16528,0.1411,0.14333,0.18437,0.13714,0.14318,0.15659,0.13844,0.14344,0.18983,0.14032,0.15503,0.13662,0.15197,0.15425,0.13501
Cudi2,850,0.14174,0.15257,0.13908,0.17167,0.15281,0.16825,0.14741,0.12665,0.17203,0.15948,0.14416,0.16949,0.15615,0.15912,0.15245,0.15504,0.14706,0.15603,0.15813,0.16166
Cudi2,851,0.2128,0.20747,0.20071,0.20298,0.19892,0.19892,0.19918,0.2117,0.19375,0.19892,0.21449,0.21354,0.20119,0.23329,0.17616,0.20673,0.23197,0.20235,0.17263,0.19042
