collection.site,maternal.id,seed.1,seed.2,seed.3,seed.4,seed.5,seed.6,seed.7,seed.8,seed.9,seed.10,seed.11,seed.12,seed.13,seed.14,seed.15,seed.16,seed.17,seed.18,seed.19,seed.20
Derici,1108,0.20996,0.1592,0.19556,0.18152,0.18951,0.18433,0.1813,0.14711,0.18692,0.17994,0.18979,0.16014,0.18692,0.21932,0.23155,0.1849,0.21608,0.1646,0.18289,0.19383
Derici,1109,0.2095,0.18212,0.17978,0.23999,0.20042,0.1704,0.20106,0.21138,0.17849,0.19244,0.19965,0.17872,0.13112,0.18851,0.18487,0.1915,0.1959,0.19461,0.2044,0.18353
Derici,1111,0.19258,0.17684,0.19869,0.18655,0.16217,0.18914,0.24018,0.15782,0.20672,0.17509,0.18494,0.17661,0.19625,0.14338,0.18265,0.16485,0.1773,0.18593,0.16286,0.20038
Derici,1112,0.20448,0.20378,0.19626,0.17111,0.19759,0.19023,0.19062,0.16641,0.20017,0.22696,0.15028,0.16367,0.17644,0.19414,0.18192,0.18584,0.17534,0.19908,0.24035,0.19023
Derici,1114,0.12555,0.13492,0.09872,0.13103,0.13748,0.12884,0.12841,0.11204,0.14374,0.12987,0.1202,0.1404,0.12896,0.09239,0.12385,0.13334,0.12604,0.12713,0.11253,0.12214
Derici,1115,0.23048,0.25759,0.20839,0.22455,0.21341,0.24974,0.22473,0.21606,0.2009,0.1967,0.23596,0.20775,0.21523,0.2418,0.21578,0.23139,0.25221,0.24198,0.1946,0.18995
Derici,1116,0.17914,0.16323,0.1381,0.15611,0.16981,0.18631,0.16445,0.1655,0.16876,0.15687,0.136,0.18497,0.16165,0.14201,0.15623,0.19604,0.16334,0.15576,0.13093,0.15728
Derici,1117,0.18257,0.1891,0.23197,0.19002,0.21834,0.18385,0.19875,0.17987,0.18555,0.18499,0.24134,0.20848,0.21032,0.17931,0.21288,0.2253,0.2214,0.18619,0.21103,0.19826
Derici,1118,0.19476,0.21999,0.19855,0.20978,0.22928,0.19965,0.21577,0.17644,0.22615,0.19518,0.20244,0.19003,0.19011,0.16091,0.21307,0.19484,0.17095,0.16977,0.20843,0.18277
Derici,1119,0.21597,0.1993,0.19933,0.20405,0.20249,0.21316,0.17474,0.20049,0.20199,0.21807,0.20502,0.21275,0.19307,0.19298,0.20518,0.19808,0.19339,0.19967,0.20296,0.22645
Derici,1120,0.11204,0.12735,0.11517,0.11765,0.12371,0.11084,0.12651,0.14416,0.1139,0.11496,0.11189,0.13155,0.13362,0.1209,0.12866,0.13672,0.12378,0.13807,0.11488,0.13898
Derici,1121,0.22136,0.20705,0.20024,0.21786,0.19504,0.2014,0.23376,0.19303,0.1972,0.20515,0.20518,0.18964,0.19985,0.21472,0.21868,0.20684,0.19801,0.19896,0.21437,0.20144
Derici,1122,0.10562,0.13544,0.1407,0.13873,0.1282,0.11335,0.13178,0.1303,0.12133,0.11919,0.12898,0.12602,0.11681,0.12902,0.11191,0.11364,0.13124,0.11339,0.13108,0.16208
Derici,1123,0.15648,0.19505,0.16831,0.13941,0.16508,0.14621,0.15254,0.17272,0.17917,0.15475,0.19123,0.19177,0.17505,0.15971,0.19141,0.17571,0.16222,0.17893,0.14072,0.16395
Derici,1124,0.14179,0.15185,0.16446,0.16635,0.15634,0.1391,0.16187,0.15843,0.12156,0.16082,0.15021,0.12604,0.15674,0.14861,0.14652,0.15958,0.16257,0.18633,0.15728,0.14752
Derici,1125,0.18294,0.20589,0.20695,0.19824,0.1927,0.2105,0.19025,0.18957,0.19135,0.1875,0.19786,0.20352,0.20585,0.16548,0.19515,0.20094,0.19596,0.2132,0.19604,0.20809
Derici,1126,0.16474,0.2031,0.17795,0.17795,0.14604,0.15926,0.21496,0.1817,0.18846,0.17442,0.19859,0.14642,0.22149,0.20077,0.16436,0.179,0.18486,0.16384,0.18793,0.20137
Derici,1127,0.1863,0.20487,0.2151,0.14944,0.18882,0.21553,0.21215,0.18083,0.22474,0.22993,0.16823,0.1886,0.19616,0.19947,0.19775,0.20394,0.18954,0.19069,0.18212,0.20423
Derici,1128,0.1701,0.16927,0.13507,0.15466,0.14804,0.14824,0.18265,0.17245,0.14707,0.16162,0.17258,0.14983,0.1681,0.1961,0.16024,0.15735,0.17017,0.16907,0.15838,0.20637
Derici,1130,0.19042,0.1856,0.18144,0.20161,0.19941,0.18487,0.13701,0.18862,0.19745,0.21468,0.18119,0.18054,0.1901,0.16894,0.17319,0.19304,0.24155,0.16273,0.19794,0.17548
Derici,1131,0.17689,0.14433,0.1571,0.14901,0.16047,0.12198,0.13982,0.15803,0.15185,0.14287,0.15311,0.17782,0.16295,0.16392,0.13015,0.15275,0.16445,0.13889,0.16051,0.16571
