collection.site,maternal.id,seed.1,seed.2,seed.3,seed.4,seed.5,seed.6,seed.7,seed.8,seed.9,seed.10,seed.11,seed.12,seed.13,seed.14,seed.15,seed.16,seed.17,seed.18,seed.19,seed.20
Destek,1222,0.14964,0.1328,0.12063,0.12427,0.15375,0.10498,0.14063,0.12063,0.11383,0.13422,0.12529,0.14813,0.1328,0.13059,0.15746,0.14434,0.13596,0.15414,0.14703,0.13185
Destek,1223,0.1106,0.10717,0.10773,0.09197,0.10883,0.1268,0.09866,0.10048,0.10634,0.09678,0.08793,0.1001,0.12901,0.09531,0.13371,0.10955,0.11082,0.12331,0.09136,0.11646
Destek,1225,0.14873,0.15672,0.16152,0.15806,0.16279,0.14733,0.16009,0.14473,0.16545,0.15759,0.16682,0.14903,0.1238,0.16166,0.15089,0.16642,0.15766,0.15502,0.14826,0.20629
Destek,1226,0.15304,0.14275,0.13909,0.13299,0.13581,0.14154,0.09019,0.12871,0.13992,0.14835,0.13996,0.14096,0.1361,0.14021,0.13104,0.13399,0.13797,0.12863,0.14353,0.1371
Destek,1228,0.13029,0.10409,0.10948,0.11454,0.10151,0.10826,0.08773,0.08479,0.10799,0.10813,0.11275,0.10853,0.10282,0.09059,0.1016,0.10559,0.10405,0.10309,0.10432,0.11778
Destek,1229,0.12634,0.13563,0.13576,0.14631,0.13223,0.1318,0.12447,0.14025,0.12767,0.14781,0.12321,0.14871,0.10593,0.12314,0.14162,0.12387,0.12547,0.12857,0.15287,0.12387
Destek,1230,0.15642,0.1353,0.14784,0.15981,0.1846,0.16427,0.17768,0.14805,0.17465,0.14056,0.16391,0.17141,0.16103,0.15966,0.16809,0.21999,0.17415,0.16687,0.16658,0.17545
Destek,1231,0.0975,0.10194,0.10877,0.09322,0.08647,0.10609,0.09766,0.10235,0.10198,0.11909,0.10091,0.11778,0.09992,0.10482,0.11749,0.11214,0.10515,0.09433,0.11453,0.09861
Destek,1232,0.11798,0.08197,0.11763,0.12528,0.10511,0.09624,0.10673,0.11067,0.12766,0.10371,0.13804,0.10024,0.11154,0.13038,0.10992,0.10963,0.12343,0.10169,0.1069,0.11305
Destek,1233,0.14922,0.16386,0.12595,0.17206,0.1586,0.1476,0.15076,0.14616,0.14953,0.15155,0.14467,0.1515,0.13752,0.14169,0.13945,0.14524,0.16316,0.14506,0.17898,0.12714
Destek,1234,0.17013,0.17264,0.15416,0.15586,0.14005,0.15372,0.15076,0.15934,0.15335,0.14663,0.13288,0.15461,0.19244,0.16621,0.14145,0.15254,0.13953,0.15017,0.1569,0.18749
Destek,1236,0.16047,0.14574,0.15649,0.13873,0.16685,0.17427,0.15354,0.14732,0.14732,0.14885,0.14961,0.13608,0.14007,0.15239,0.15823,0.18163,0.1279,0.1638,0.15703,0.16625
Destek,1238,0.15736,0.13219,0.14293,0.13462,0.1509,0.1285,0.16285,0.14862,0.15207,0.13481,0.15294,0.13802,0.14074,0.13583,0.13875,0.15129,0.13603,0.14376,0.15795,0.14769
Destek,1239,0.13324,0.12401,0.12091,0.11956,0.12438,0.13137,0.10964,0.09522,0.12732,0.13345,0.14476,0.14321,0.11728,0.14121,0.13002,0.13034,0.13096,0.13345,0.13059,0.1283
Destek,1240,0.12868,0.1338,0.1371,0.12726,0.12827,0.13913,0.12982,0.13319,0.12473,0.11534,0.1273,0.13913,0.1312,0.14645,0.09525,0.12254,0.14332,0.13714,0.13511,0.11611
Destek,1241,0.15125,0.1282,0.13352,0.15176,0.15352,0.13035,0.13913,0.16247,0.14304,0.18523,0.15244,0.14242,0.16201,0.15063,0.15924,0.16247,0.14734,0.15465,0.13998,0.14615
Destek,1242,0.13728,0.14421,0.15802,0.17125,0.15708,0.13634,0.13605,0.15802,0.16243,0.14046,0.13482,0.12484,0.14682,0.13923,0.14465,0.1625,0.17378,0.14783,0.15224,0.16098
Destek,1243,0.12537,0.11163,0.12589,0.11157,0.12507,0.11247,0.12165,0.11026,0.12086,0.11938,0.12598,0.11129,0.10984,0.11689,0.11035,0.09748,0.12559,0.13194,0.11287,0.11105
Destek,1244,0.11411,0.08728,0.11833,0.11457,0.09187,0.10726,0.09468,0.10076,0.11756,0.11271,0.10703,0.12374,0.131,0.10821,0.10957,0.12483,0.10662,0.11797,0.11843,0.10626
Destek,1245,0.14592,0.16122,0.14682,0.13585,0.1901,0.15492,0.15713,0.13503,0.15606,0.14731,0.15713,0.15958,0.15058,0.15369,0.13642,0.16236,0.18888,0.15385,0.14592,0.13348
Destek,1246,0.1163,0.09744,0.10866,0.1124,0.10882,0.10007,0.11051,0.10859,0.0897,0.10612,0.11324,0.10336,0.10206,0.12742,0.10225,0.11061,0.09945,0.10476,0.0989,0.11315
Destek,1248,0.17902,0.17349,0.15729,0.15402,0.17588,0.14762,0.14109,0.17751,0.16118,0.14059,0.16074,0.15616,0.16093,0.1696,0.18523,0.15578,0.16903,0.15258,0.15936,0.14065
Destek,1249,0.11628,0.09788,0.11413,0.09958,0.1174,0.11336,0.11108,0.11451,0.11135,0.11628,0.09184,0.12775,0.11813,0.10454,0.08765,0.11043,0.11863,0.11493,0.09688,0.11182
Destek,1251,0.16024,0.12215,0.13094,0.12286,0.11803,0.12335,0.13539,0.09427,0.09562,0.11564,0.11239,0.12622,0.11147,0.12921,0.12335,0.12888,0.1132,0.10989,0.1093,0.11819
Destek,1252,0.11635,0.11395,0.11143,0.11959,0.15427,0.12389,0.1174,0.11428,0.12327,0.11683,0.11811,0.12116,0.12298,0.1254,0.12965,0.12118,0.11666,0.12719,0.12453,0.12779
Destek,1253,0.21365,0.12867,0.15742,0.16482,0.17055,0.16099,0.12835,0.17138,0.14843,0.15838,0.16424,0.16016,0.14097,0.16431,0.14594,0.1578,0.17062,0.1659,0.15595,0.14958
Destek,1254,0.11871,0.12369,0.06842,0.13437,0.12319,0.11495,0.12214,0.11517,0.13609,0.12325,0.12502,0.12762,0.13166,0.1238,0.13172,0.11235,0.13515,0.1258,0.12364,0.11705
Destek,1255,0.09984,0.09909,0.09302,0.10976,0.09432,0.11047,0.10325,0.09964,0.08314,0.11514,0.1056,0.08944,0.10935,0.09916,0.11228,0.1072,0.09691,0.11572,0.09759,0.10938
