collection.site,maternal.id,seed.1,seed.2,seed.3,seed.4,seed.5,seed.6,seed.7,seed.8,seed.9,seed.10,seed.11,seed.12,seed.13,seed.14,seed.15,seed.16,seed.17,seed.18,seed.19,seed.20
Egil,1390,0.15593,0.16848,0.16116,0.15638,0.13079,0.15302,0.17677,0.16026,0.15693,0.16519,0.1518,0.15392,0.16661,0.15048,0.17933,0.16543,0.18505,0.16862,0.15607,0.16338
Egil,1391,0.1734,0.1685,0.15698,0.16941,0.17844,0.16557,0.16432,0.1626,0.17503,0.16725,0.18866,0.16624,0.14407,0.18204,0.17968,0.17767,0.14714,0.16951,0.15501,0.16716
Egil,1392,0.14684,0.15829,0.16615,0.15661,0.16391,0.16432,0.15337,0.15094,0.14777,0.15359,0.15329,0.15799,0.15527,0.15243,0.11329,0.15776,0.16574,0.15825,0.16962,0.16611
Egil,1393,0.18613,0.19076,0.18664,0.20608,0.21224,0.18956,0.19686,0.20474,0.18886,0.21154,0.21376,0.2069,0.19102,0.20169,0.16751,0.18359,0.18015,0.19102,0.21688,0.1712
Egil,1394,0.14183,0.12673,0.16224,0.16118,0.14442,0.14682,0.14834,0.16936,0.17009,0.14482,0.12441,0.14748,0.13977,0.13957,0.10918,0.14928,0.15892,0.17222,0.16716,0.15865
Egil,1395,0.18921,0.17021,0.16972,0.18762,0.17041,0.18786,0.17762,0.18647,0.18274,0.1821,0.13636,0.17613,0.1735,0.1807,0.17161,0.17021,0.16191,0.18443,0.17245,0.16022
Egil,1396,0.17295,0.18959,0.15961,0.18654,0.16382,0.16861,0.17579,0.14898,0.17195,0.1815,0.1782,0.17107,0.16253,0.18071,0.14735,0.16778,0.17708,0.17016,0.17641,0.15919
Egil,1397,0.17742,0.1923,0.18366,0.19156,0.20203,0.16217,0.20093,0.19422,0.23289,0.18825,0.17723,0.18421,0.17981,0.20231,0.17962,0.21112,0.21278,0.18476,0.20175,0.17154
Egil,1398,0.1659,0.18802,0.15842,0.20737,0.17978,0.19007,0.20128,0.20251,0.19048,0.19928,0.18075,0.20323,0.20364,0.20005,0.1765,0.19903,0.17097,0.18387,0.20179,0.18111
Egil,1400,0.15431,0.15468,0.17457,0.19976,0.18944,0.16394,0.1633,0.17563,0.1569,0.17172,0.15251,0.16716,0.16854,0.17727,0.17505,0.16743,0.185,0.1759,0.15648,0.17119
Egil,1401,0.18905,0.2,0.1988,0.22064,0.18338,0.19262,0.18649,0.19814,0.18674,0.18534,0.19317,0.19408,0.16987,0.20181,0.21482,0.18925,0.22792,0.21512,0.20548,0.18936
Egil,1402,0.136,0.15107,0.13946,0.14368,0.16847,0.11631,0.14784,0.14485,0.1559,0.1622,0.13254,0.13389,0.15288,0.13553,0.15048,0.16425,0.12803,0.13911,0.15933,0.13811
Egil,1403,0.17317,0.15193,0.17747,0.15936,0.16496,0.16014,0.17308,0.19224,0.14976,0.15656,0.17163,0.16931,0.16381,0.16743,0.15951,0.11668,0.17732,0.17428,0.17448,0.164
