collection.site,maternal.id,seed.1,seed.2,seed.3,seed.4,seed.5,seed.6,seed.7,seed.8,seed.9,seed.10,seed.11,seed.12,seed.13,seed.14,seed.15,seed.16,seed.17,seed.18,seed.19,seed.20
Gunas,1491,0.15441,0.1576,0.16563,0.1414,0.132,0.13639,0.16483,0.14935,0.14713,0.15942,0.14349,0.16199,0.14553,0.13896,0.17029,0.15707,0.13852,0.14056,0.14983,0.14935
Gunas,1492,0.16902,0.1547,0.14327,0.17669,0.14351,0.15149,0.14045,0.14992,0.1403,0.14875,0.13709,0.14194,0.15767,0.15689,0.14296,0.13568,0.15032,0.15298,0.16433,0.14178
Gunas,1493,0.10441,0.12013,0.12481,0.13229,0.14015,0.1142,0.13369,0.11843,0.11427,0.13376,0.12636,0.12364,0.11201,0.12092,0.11994,0.13044,0.09856,0.11979,0.12058,0.11673
Gunas,1494,0.15018,0.12288,0.14434,0.13178,0.15286,0.16288,0.145,0.14406,0.14542,0.13512,0.13705,0.14194,0.14081,0.13295,0.14712,0.16778,0.15757,0.15931,0.13808,0.14086
Gunas,1495,0.10927,0.11802,0.12421,0.12585,0.11901,0.11781,0.12351,0.11277,0.13393,0.1226,0.09132,0.12942,0.10021,0.1291,0.13106,0.12452,0.12823,0.11707,0.11893,0.12435
Gunas,1497,0.13201,0.11938,0.10837,0.12227,0.10774,0.13816,0.11338,0.12286,0.10208,0.11704,0.12486,0.13138,0.11137,0.13194,0.12416,0.10111,0.11612,0.12201,0.1143,0.12201
Gunas,1498,0.10942,0.12738,0.11512,0.12074,0.16184,0.12431,0.13563,0.1298,0.1191,0.11561,0.12303,0.13481,0.13973,0.11532,0.13107,0.13591,0.11639,0.11598,0.12644,0.12365
Gunas,1500,0.14857,0.14971,0.13496,0.13298,0.14714,0.14408,0.13775,0.16661,0.15339,0.12387,0.14216,0.15,0.15355,0.14196,0.14228,0.13665,0.12334,0.15739,0.15567,0.14583
Gunas,1501,0.12945,0.10961,0.12738,0.12031,0.11969,0.12131,0.1087,0.13126,0.11738,0.12564,0.10383,0.10953,0.11659,0.10341,0.12965,0.12106,0.11333,0.10411,0.12833,0.13709
Gunas,1502,0.1241,0.11088,0.11743,0.13305,0.12019,0.11112,0.12254,0.09808,0.09886,0.11418,0.11527,0.12037,0.13714,0.11214,0.12542,0.11845,0.10902,0.10199,0.11352,0.11995
Gunas,1503,0.15172,0.14711,0.14834,0.1433,0.14087,0.14413,0.14326,0.15525,0.14616,0.13051,0.1425,0.1452,0.15096,0.18488,0.15148,0.15513,0.15791,0.13889,0.15478,0.13996
Gunas,1504,0.10382,0.11881,0.11684,0.10718,0.12552,0.09393,0.11836,0.08816,0.12593,0.1112,0.08981,0.11255,0.09626,0.12194,0.0929,0.1129,0.1257,0.09406,0.09326,0.12816
Gunas,1505,0.14524,0.16133,0.14252,0.15129,0.15189,0.13074,0.14546,0.15527,0.14437,0.1586,0.16024,0.13826,0.15816,0.16073,0.15882,0.1435,0.14546,0.15882,0.12054,0.14731
Gunas,1506,0.15106,0.13288,0.13981,0.14194,0.13194,0.14913,0.14668,0.14882,0.14767,0.12881,0.1421,0.13871,0.16403,0.14538,0.14611,0.1348,0.14486,0.14699,0.12189,0.16788
Gunas,1507,0.14708,0.14578,0.14659,0.14541,0.14853,0.14326,0.15131,0.19388,0.14781,0.14592,0.14653,0.13897,0.15069,0.14939,0.14198,0.15512,0.14266,0.14461,0.1459,0.14761
Gunas,1508,0.11414,0.12144,0.11839,0.12738,0.12295,0.12083,0.09507,0.11434,0.10755,0.12343,0.10374,0.1074,0.13492,0.11578,0.11853,0.11204,0.14381,0.08457,0.09462,0.11623
Gunas,1509,0.15534,0.15343,0.14889,0.13942,0.14907,0.14747,0.14502,0.13787,0.14005,0.16605,0.15498,0.14414,0.15036,0.13862,0.1484,0.1721,0.12266,0.1492,0.13524,0.14071
Gunas,1510,0.11942,0.0924,0.11414,0.09616,0.11937,0.11931,0.10825,0.10335,0.10667,0.10798,0.12182,0.11337,0.12242,0.11947,0.11452,0.13723,0.12214,0.12187,0.11958,0.10422
Gunas,1511,0.11862,0.12732,0.11403,0.11826,0.12905,0.11459,0.12716,0.13745,0.09251,0.11665,0.12115,0.11487,0.12838,0.12588,0.1226,0.1211,0.11598,0.11759,0.10514,0.09969
Gunas,1512,0.12861,0.1059,0.11609,0.11595,0.12642,0.12075,0.13804,0.12458,0.10844,0.09804,0.11971,0.10715,0.10618,0.11595,0.12395,0.12472,0.11926,0.12357,0.12969,0.13091
Gunas,1513,0.10743,0.11794,0.12589,0.11385,0.10223,0.1293,0.1293,0.11334,0.11381,0.0964,0.1244,0.09487,0.1233,0.11321,0.12304,0.11713,0.10296,0.11321,0.11202,0.12092
Gunas,1514,0.09931,0.11111,0.109,0.11537,0.10562,0.129,0.12872,0.12385,0.11327,0.13471,0.11975,0.12379,0.09615,0.10297,0.09239,0.12989,0.11415,0.08253,0.11017,0.12041
Gunas,1516,0.15513,0.15658,0.13094,0.14404,0.13874,0.14245,0.15877,0.14766,0.1451,0.1262,0.15361,0.14503,0.12903,0.12518,0.15301,0.15474,0.14616,0.15393,0.13973,0.12938
Gunas,1518,0.12833,0.10659,0.11932,0.13467,0.12086,0.08966,0.09218,0.11984,0.11219,0.1193,0.11167,0.13178,0.11177,0.09339,0.13295,0.11993,0.12613,0.12021,0.12245,0.13742
Gunas,1519,0.14485,0.14661,0.13977,0.15752,0.15522,0.13172,0.15109,0.16297,0.15441,0.1256,0.15079,0.14605,0.15854,0.13233,0.14696,0.15522,0.13503,0.16323,0.15624,0.15757
Gunas,1520,0.13472,0.12078,0.12763,0.13427,0.12858,0.11066,0.12365,0.12471,0.12169,0.13105,0.11006,0.10518,0.12451,0.11811,0.13402,0.14066,0.13035,0.10523,0.15335,0.12184
Gunas,1521,0.1234,0.14243,0.12485,0.11716,0.11151,0.11888,0.11872,0.12329,0.10748,0.11108,0.12146,0.11754,0.11996,0.13292,0.10775,0.12496,0.11254,0.13824,0.12044,0.09829
Gunas,1522,0.14491,0.13976,0.13976,0.14636,0.12685,0.15085,0.15634,0.15416,0.14318,0.16646,0.14957,0.15603,0.14878,0.14781,0.12239,0.13041,0.13655,0.14318,0.14543,0.15862
Gunas,1523,0.10064,0.11737,0.12518,0.11268,0.12144,0.13198,0.11853,0.11239,0.12152,0.12655,0.12111,0.12073,0.13335,0.11284,0.10649,0.09213,0.12426,0.10774,0.11994,0.11336
Gunas,1525,0.11706,0.13817,0.1177,0.12983,0.09038,0.11578,0.12309,0.12444,0.12344,0.12568,0.11759,0.1321,0.14445,0.1232,0.14547,0.12479,0.12476,0.12252,0.13817,0.12231
Gunas,1527,0.15099,0.14938,0.15406,0.14033,0.13423,0.13469,0.1472,0.13071,0.17209,0.13565,0.14263,0.1472,0.15157,0.12725,0.15161,0.13776,0.1253,0.14244,0.14474,0.15587
