collection.site,maternal.id,seed.1,seed.2,seed.3,seed.4,seed.5,seed.6,seed.7,seed.8,seed.9,seed.10,seed.11,seed.12,seed.13,seed.14,seed.15,seed.16,seed.17,seed.18,seed.19,seed.20
Kalkan,1561,0.11082,0.11072,0.10303,0.1245,0.09819,0.11405,0.13067,0.11049,0.10849,0.11932,0.08945,0.07943,0.10123,0.13832,0.11191,0.09952,0.10507,0.11623,0.11153,0.1093
Kalkan,1562,0.14361,0.13235,0.03404,0.1254,0.14576,0.17472,0.10786,0.11514,0.135,0.19177,0.27155,0.15172,0.13581,0.17439,0.11017,0.16463,0.17059,0.16132,0.07111,0.17654
Kalkan,1563,0.10191,0.12671,0.11662,0.11122,0.10738,0.1593,0.1235,0.11677,0.11286,0.12867,0.12194,0.11861,0.13246,0.12272,0.12018,0.12644,0.11838,0.13418,0.12014,0.12651
Kalkan,1564,0.14718,0.13985,0.14351,0.14767,0.16592,0.15101,0.13818,0.16084,0.12294,0.12644,0.14218,0.14509,0.17308,0.14401,0.1296,0.14976,0.14817,0.1366,0.1206,0.12835
Kalkan,1567,0.1573,0.13826,0.13694,0.14392,0.14483,0.14519,0.14437,0.14554,0.14091,0.13195,0.12651,0.12646,0.16417,0.12432,0.14534,0.15603,0.15135,0.15226,0.15506,0.18153
Kalkan,1568,0.12217,0.11147,0.11067,0.13164,0.10695,0.12711,0.1062,0.14015,0.11498,0.12802,0.0921,0.10687,0.12669,0.11386,0.1161,0.10711,0.10689,0.1053,0.11972,0.13132
Kalkan,1569,0.11629,0.1249,0.13682,0.1164,0.12095,0.14167,0.11321,0.1187,0.10388,0.12362,0.12268,0.14983,0.11832,0.11294,0.12306,0.13343,0.11159,0.11072,0.12054,0.10354
Kalkan,1570,0.1097,0.10488,0.10404,0.10434,0.11958,0.12499,0.12848,0.12809,0.11673,0.13197,0.11393,0.1214,0.11039,0.07941,0.08811,0.12268,0.10753,0.12332,0.11088,0.10753
Kalkan,1571,0.16626,0.10804,0.10804,0.11112,0.11025,0.10828,0.11347,0.10941,0.09611,0.11333,0.11488,0.11186,0.10549,0.11303,0.11027,0.1177,0.10826,0.11315,0.11459,0.11115
Kalkan,1572,0.14216,0.17461,0.13686,0.13119,0.15664,0.16156,0.13649,0.16004,0.17953,0.12097,0.13516,0.14074,0.10082,0.15796,0.16345,0.12466,0.14141,0.1416,0.13119,0.1468
Kalkan,1573,0.16224,0.17325,0.12783,0.11114,0.12829,0.11879,0.12493,0.14903,0.14891,0.15054,0.13316,0.15899,0.12678,0.14915,0.1678,0.17383,0.14926,0.14382,0.16166,0.12226
Kalkan,1574,0.16308,0.17449,0.15881,0.12966,0.15826,0.16095,0.16047,0.15146,0.18233,0.1747,0.16934,0.15826,0.14884,0.17112,0.15558,0.13908,0.16177,0.17229,0.13509,0.1692
Kalkan,1575,0.16148,0.18022,0.17171,0.17752,0.14585,0.17061,0.15111,0.18526,0.16666,0.17441,0.16065,0.17268,0.14343,0.16978,0.17351,0.1975,0.1612,0.16998,0.16196,0.14502
Kalkan,1576,0.15539,0.14992,0.15234,0.15668,0.14735,0.1508,0.15646,0.16359,0.12855,0.16413,0.14728,0.15476,0.15165,0.14876,0.17091,0.13993,0.15391,0.1294,0.15102,0.14719
Kalkan,1577,0.14516,0.13117,0.15612,0.14647,0.15368,0.11752,0.12526,0.1675,0.14221,0.17341,0.11092,0.11787,0.12178,0.12926,0.11231,0.1715,0.13873,0.1336,0.14647,0.13655
Kalkan,1578,0.15329,0.10671,0.16017,0.15803,0.15766,0.15031,0.17607,0.13358,0.16101,0.10959,0.11619,0.14055,0.15441,0.1611,0.14585,0.13395,0.12586,0.14,0.12503,0.14873
Kalkan,1579,0.1579,0.15343,0.1571,0.15131,0.13206,0.12238,0.14838,0.1177,0.16194,0.14301,0.15109,0.16093,0.15088,0.15699,0.14338,0.14173,0.13046,0.13588,0.16976,0.1362
Kalkan,1580,0.11648,0.12408,0.08432,0.10786,0.12107,0.11257,0.13493,0.12253,0.12526,0.12115,0.1318,0.11245,0.11865,0.12432,0.11993,0.11835,0.14014,0.12046,0.11729,0.10265
Kalkan,1582,0.11854,0.11069,0.12483,0.13101,0.11183,0.12358,0.10908,0.09457,0.11141,0.13434,0.11334,0.10975,0.13075,0.13018,0.11739,0.11469,0.1216,0.14941,0.12498,0.11973
Kalkan,1583,0.14185,0.13901,0.14932,0.18303,0.16935,0.15702,0.14207,0.12571,0.13871,0.14708,0.1633,0.14648,0.14693,0.14327,0.13796,0.12698,0.16293,0.14723,0.14992,0.1571
Kalkan,1584,0.10984,0.14727,0.15082,0.12435,0.13803,0.1266,0.10907,0.12068,0.1266,0.14158,0.12258,0.12471,0.13199,0.12441,0.10706,0.11121,0.1269,0.12861,0.12702,0.12713
Kalkan,1585,0.16789,0.15056,0.15591,0.13747,0.16321,0.15922,0.14886,0.15139,0.14944,0.15567,0.14214,0.16244,0.15387,0.16356,0.16059,0.15747,0.14516,0.14029,0.12842,0.16258
Kalkan,1586,0.11781,0.13742,0.13997,0.10375,0.12452,0.12892,0.12645,0.14784,0.15888,0.1158,0.14769,0.11781,0.17278,0.1683,0.14846,0.14746,0.14468,0.11078,0.12862,0.12529
Kalkan,1587,0.15081,0.13946,0.15593,0.14318,0.16419,0.14193,0.14924,0.15391,0.13434,0.16145,0.13138,0.13712,0.1606,0.15741,0.15418,0.15719,0.14444,0.13833,0.13384,0.15369
Kalkan,1588,0.15248,0.14344,0.14993,0.10929,0.15217,0.15147,0.13545,0.14177,0.13611,0.13914,0.16683,0.15164,0.15858,0.15283,0.12593,0.15322,0.15331,0.15208,0.14967,0.12075
Kalkan,1589,0.10583,0.11936,0.10551,0.10247,0.13082,0.12569,0.11423,0.12566,0.11765,0.11717,0.10225,0.1232,0.11833,0.10832,0.1108,0.13525,0.11009,0.12449,0.12088,0.11746
Kalkan,1590,0.16208,0.15066,0.1746,0.17693,0.18345,0.16761,0.18578,0.16382,0.14525,0.16173,0.16738,0.17343,0.16324,0.17087,0.17518,0.12708,0.17338,0.15037,0.17046,0.16447
Kalkan,1591,0.10312,0.11518,0.11408,0.10755,0.11549,0.1157,0.12161,0.12379,0.12113,0.11712,0.13332,0.13636,0.11387,0.11871,0.12762,0.11577,0.11999,0.14023,0.12818,0.1279
Kalkan,1595,0.14859,0.16332,0.16065,0.14689,0.16756,0.166,0.13523,0.14624,0.12812,0.15133,0.12571,0.14553,0.13523,0.14605,0.11984,0.14253,0.15707,0.14807,0.13164,0.1598
Kalkan,1597,0.16021,0.17884,0.17282,0.15793,0.17054,0.18128,0.15712,0.17233,0.16298,0.16168,0.13304,0.14939,0.16436,0.14858,0.14898,0.18747,0.15867,0.17648,0.17355,0.14597
Kalkan,1598,0.17837,0.17678,0.14392,0.18954,0.17166,0.14101,0.18161,0.18236,0.17551,0.17236,0.16973,0.14993,0.16851,0.1542,0.16039,0.18767,0.15964,0.15889,0.1618,0.16415
Kalkan,1599,0.15301,0.14868,0.16725,0.14248,0.15257,0.16357,0.15886,0.15267,0.15412,0.14749,0.14685,0.14546,0.13717,0.15632,0.15819,0.12482,0.13517,0.14966,0.13748,0.14519
