collection.site,maternal.id,seed.1,seed.2,seed.3,seed.4,seed.5,seed.6,seed.7,seed.8,seed.9,seed.10,seed.11,seed.12,seed.13,seed.14,seed.15,seed.16,seed.17,seed.18,seed.19,seed.20
Karabace,1728,0.08126,0.15446,0.16453,0.16243,0.14088,0.15106,0.13189,0.1531,0.1329,0.12153,0.12951,0.14026,0.11316,0.14999,0.12742,0.12284,0.15044,0.10796,0.13098,0.12487
Karabace,1729,0.13995,0.1429,0.16801,0.13438,0.14404,0.15837,0.15807,0.15234,0.15504,0.155,0.15167,0.13741,0.12594,0.15961,0.13621,0.12162,0.14743,0.21264,0.15059,0.15271
Karabace,1730,0.11058,0.09775,0.10879,0.11467,0.1003,0.09668,0.09971,0.10273,0.11041,0.11902,0.09979,0.11655,0.09515,0.10231,0.11527,0.10133,0.10525,0.10359,0.11488,0.13189
Karabace,1731,0.13272,0.11052,0.10336,0.10681,0.15301,0.12387,0.13608,0.11658,0.11876,0.11353,0.12801,0.10986,0.10598,0.12884,0.15083,0.11327,0.11126,0.11477,0.10485,0.12278
Karabace,1732,0.16268,0.12673,0.15086,0.11731,0.17759,0.16321,0.15741,0.1572,0.14069,0.12418,0.16092,0.16156,0.13749,0.15496,0.14846,0.1703,0.15863,0.15405,0.16258,0.15166
Karabace,1734,0.07871,0.09045,0.06346,0.07096,0.08189,0.08384,0.08686,0.07276,0.10692,0.0942,0.10195,0.08458,0.06892,0.05759,0.07651,0.06362,0.08882,0.08947,0.08711,0.10594
Karabace,1735,0.19763,0.13443,0.15717,0.13235,0.13063,0.14816,0.14377,0.14152,0.15116,0.15822,0.13274,0.15198,0.14357,0.16116,0.12585,0.15132,0.1473,0.1341,0.13921,0.14948
Karabace,1737,0.10378,0.12072,0.10594,0.09526,0.09452,0.11923,0.13227,0.11024,0.11048,0.10827,0.11473,0.132,0.11071,0.13377,0.11414,0.11773,0.1225,0.11229,0.13393,0.11643
Karabace,1738,0.13656,0.12976,0.10703,0.11105,0.10935,0.13405,0.12751,0.12935,0.13371,0.12391,0.10866,0.12153,0.15017,0.10404,0.1152,0.12561,0.11431,0.1235,0.10445,0.11275
Karabace,1739,0.13914,0.14408,0.15374,0.16006,0.14489,0.15012,0.14507,0.15147,0.15427,0.14951,0.15143,0.14472,0.13772,0.13082,0.14258,0.15022,0.20656,0.14667,0.13072,0.13907
Karabace,1741,0.10705,0.11721,0.12083,0.12065,0.1187,0.125,0.13371,0.10401,0.12044,0.12557,0.13647,0.1112,0.12391,0.11406,0.10132,0.11495,0.121,0.11743,0.12479,0.1323
Karabace,1742,0.12951,0.13393,0.15177,0.11255,0.1237,0.12658,0.11867,0.12689,0.14298,0.13074,0.12212,0.12575,0.11591,0.15497,0.12733,0.12252,0.11981,0.12203,0.11548,0.11482
Karabace,1743,0.11318,0.11244,0.10819,0.10637,0.09601,0.10063,0.12597,0.09569,0.09648,0.0906,0.09303,0.08962,0.0927,0.08355,0.09713,0.09639,0.10581,0.07781,0.07557,0.09764
Karabace,1744,0.10205,0.13401,0.1055,0.11695,0.12938,0.12021,0.11103,0.11774,0.12275,0.13947,0.11591,0.12073,0.12821,0.12171,0.12366,0.09463,0.10732,0.11611,0.11969,0.14526
Karabace,1745,0.10829,0.11525,0.11875,0.14086,0.12369,0.11932,0.1116,0.13074,0.11194,0.09385,0.09582,0.11232,0.11913,0.11534,0.10803,0.09817,0.11103,0.128,0.12043,0.10671
Karabace,1746,0.13567,0.16,0.14123,0.15112,0.12003,0.10241,0.14225,0.11161,0.1291,0.1531,0.12546,0.14136,0.16657,0.1284,0.14461,0.13478,0.14308,0.14474,0.13765,0.14921
Karabace,1747,0.08959,0.08668,0.07988,0.08186,0.08796,0.09589,0.10898,0.10366,0.08641,0.08815,0.08209,0.06399,0.11139,0.07918,0.07215,0.10117,0.06546,0.09192,0.11108,0.09861
Karabace,1748,0.22479,0.20615,0.20705,0.2044,0.21456,0.19667,0.20543,0.21229,0.19951,0.19883,0.22093,0.2044,0.22112,0.20948,0.21312,0.19951,0.17791,0.19603,0.22532,0.21683
Karabace,1749,0.1241,0.14091,0.10495,0.15527,0.13046,0.13156,0.12398,0.12073,0.15077,0.11361,0.12791,0.14609,0.1315,0.14176,0.14359,0.16205,0.15567,0.14735,0.127,0.11412
Karabace,1750,0.12942,0.12128,0.11501,0.11742,0.12347,0.12528,0.12647,0.13207,0.11899,0.11601,0.11432,0.10672,0.11899,0.11294,0.11518,0.07199,0.12058,0.12685,0.12409,0.11337
Karabace,1751,0.11249,0.1088,0.09812,0.12624,0.10701,0.09879,0.11009,0.08347,0.11109,0.1235,0.10796,0.11523,0.09359,0.11579,0.11394,0.11657,0.12535,0.13033,0.10349,0.10433
Karabace,1752,0.12582,0.12133,0.10136,0.12682,0.13221,0.1114,0.12468,0.10016,0.1089,0.09732,0.10141,0.12313,0.11539,0.10845,0.09562,0.09532,0.11988,0.13191,0.10131,0.10748
Karabace,1753,0.10592,0.10803,0.10506,0.13485,0.09837,0.11621,0.11678,0.09431,0.12256,0.12719,0.11192,0.10843,0.0994,0.10746,0.11335,0.11335,0.1309,0.1209,0.07007,0.11707
Karabace,1754,0.09393,0.1047,0.10547,0.11477,0.11471,0.11471,0.12792,0.11772,0.12586,0.1233,0.10008,0.12965,0.11913,0.13067,0.0997,0.10368,0.14414,0.10008,0.12093,0.12061
Karabace,1755,0.13572,0.14925,0.12977,0.1243,0.14057,0.15828,0.12089,0.14454,0.12615,0.12362,0.1228,0.1296,0.13469,0.11091,0.15165,0.12676,0.10571,0.11972,0.1174,0.14925
Karabace,1757,0.10728,0.14186,0.11747,0.1161,0.11538,0.10497,0.11798,0.11926,0.11662,0.11197,0.12928,0.11005,0.11312,0.09303,0.10442,0.12647,0.11436,0.10553,0.09568,0.13722
Karabace,1758,0.15645,0.12593,0.11888,0.14541,0.13944,0.12002,0.11646,0.13021,0.12268,0.14143,0.09801,0.13444,0.13826,0.14607,0.14463,0.14228,0.11188,0.1243,0.1313,0.12123
Karabace,1759,0.13126,0.14283,0.1537,0.12197,0.13073,0.1499,0.1409,0.1336,0.15761,0.13833,0.11519,0.10672,0.13757,0.14259,0.12875,0.14797,0.11396,0.11507,0.12968,0.12296
Karabace,1760,0.14225,0.13584,0.11664,0.15598,0.1225,0.10844,0.13885,0.13645,0.11692,0.12479,0.11904,0.11541,0.11235,0.11921,0.10783,0.12479,0.13561,0.13042,0.13366,0.13193
Karabace,1761,0.13285,0.13839,0.14845,0.11086,0.12806,0.15254,0.14165,0.1232,0.1232,0.13666,0.13167,0.12209,0.11703,0.12633,0.16142,0.13493,0.11467,0.14949,0.11294,0.12078
Karabace,1762,0.12408,0.11832,0.11166,0.11716,0.12718,0.10524,0.10011,0.12125,0.12112,0.09938,0.1109,0.11652,0.11226,0.12395,0.11626,0.10104,0.09841,0.11459,0.10996,0.11536
Karabace,1763,0.14232,0.13314,0.14273,0.11497,0.12315,0.15322,0.15978,0.16624,0.14918,0.11255,0.12365,0.09832,0.1622,0.13576,0.1179,0.15433,0.1512,0.15181,0.14636,0.12648
Karabace,1764,0.12269,0.12368,0.15141,0.13883,0.13918,0.14369,0.13289,0.11803,0.1054,0.14413,0.15062,0.16508,0.14463,0.13393,0.14017,0.11447,0.15825,0.12056,0.15369,0.13294
Karabace,1765,0.14211,0.11362,0.14211,0.15001,0.12955,0.15914,0.13806,0.15286,0.15262,0.14575,0.15502,0.12378,0.15276,0.13099,0.12145,0.1415,0.16498,0.1452,0.13051,0.10607
Karabace,1766,0.10934,0.10044,0.11672,0.10931,0.10425,0.1064,0.11353,0.09612,0.11988,0.09447,0.11275,0.11468,0.07867,0.11117,0.11554,0.08942,0.11522,0.10759,0.12364,0.10719
Karabace,1767,0.11866,0.10339,0.11245,0.17131,0.12579,0.12285,0.11501,0.12318,0.11887,0.12181,0.12174,0.12003,0.12807,0.11612,0.11567,0.12804,0.11707,0.1297,0.11579,0.1165
Karabace,1768,0.10975,0.11334,0.11051,0.09657,0.10338,0.10366,0.10426,0.10685,0.10987,0.10852,0.11485,0.09159,0.11079,0.12365,0.09904,0.11421,0.11322,0.10613,0.10497,0.13452
Karabace,1769,0.12292,0.12571,0.09388,0.13852,0.13146,0.12623,0.1462,0.1159,0.12923,0.12868,0.13239,0.12277,0.12879,0.14023,0.11364,0.1361,0.11419,0.13317,0.13506,0.12381
Karabace,1770,0.12264,0.13072,0.15222,0.14958,0.14534,0.15371,0.16243,0.11931,0.13594,0.13594,0.14523,0.15543,0.12648,0.12602,0.12871,0.14477,0.15434,0.13858,0.14844,0.1837
Karabace,1772,0.14826,0.18604,0.18237,0.17833,0.16346,0.13783,0.15802,0.14865,0.1547,0.1649,0.15425,0.16413,0.12558,0.14222,0.14288,0.14754,0.15508,0.16723,0.14693,0.17511
Karabace,1773,0.097,0.08997,0.11116,0.11919,0.09167,0.13195,0.1161,0.10423,0.0981,0.10677,0.10318,0.10353,0.10987,0.09406,0.1151,0.11256,0.10533,0.12637,0.11106,0.11266
Karabace,1774,0.11331,0.12584,0.11435,0.13034,0.1134,0.11463,0.1187,0.11553,0.09471,0.11127,0.10138,0.102,0.11655,0.10436,0.11927,0.10171,0.12197,0.12471,0.09144,0.13536
Karabace,1775,0.10862,0.14467,0.14712,0.1362,0.16804,0.12815,0.12465,0.10764,0.12952,0.1474,0.1194,0.12101,0.14565,0.11786,0.11772,0.13151,0.12402,0.12941,0.11772,0.10799
Karabace,1778,0.10145,0.10729,0.09976,0.09598,0.10137,0.11002,0.09961,0.11153,0.10573,0.07265,0.10001,0.11075,0.09502,0.09414,0.1173,0.09452,0.09512,0.10863,0.10503,0.09122
Karabace,1779,0.09557,0.12861,0.12976,0.11936,0.12106,0.12788,0.1402,0.11931,0.11795,0.10699,0.1038,0.1393,0.10866,0.12102,0.11778,0.1191,0.14591,0.10316,0.12247,0.12485
Karabace,1780,0.09833,0.10336,0.11887,0.08603,0.0905,0.10573,0.10167,0.10295,0.09729,0.10287,0.10565,0.10814,0.11099,0.11405,0.11847,0.09757,0.1126,0.0878,0.09673,0.10874
Karabace,1781,0.09954,0.1308,0.16839,0.15262,0.13921,0.11682,0.13175,0.13091,0.11284,0.17518,0.09455,0.12137,0.11531,0.13725,0.13416,0.14959,0.13315,0.12614,0.13596,0.11739
Karabace,1782,0.08715,0.10117,0.09441,0.10669,0.08326,0.08319,0.10442,0.0942,0.10442,0.08195,0.1029,0.10477,0.09193,0.0966,0.09412,0.10247,0.09834,0.1225,0.09788,0.10371
Karabace,1783,0.12075,0.12668,0.137,0.11445,0.11684,0.11445,0.14033,0.10539,0.13192,0.0925,0.11863,0.12322,0.09775,0.10624,0.1181,0.12725,0.11754,0.12066,0.09523,0.11607
Karabace,1784,0.13485,0.15236,0.12211,0.12898,0.1029,0.1276,0.12321,0.13501,0.10054,0.11937,0.14544,0.15093,0.12782,0.13946,0.11103,0.14303,0.13732,0.1242,0.12727,0.12222
Karabace,1785,0.11947,0.09906,0.10353,0.10162,0.1089,0.10138,0.09515,0.10016,0.1265,0.11927,0.10658,0.10174,0.10068,0.11837,0.11296,0.13053,0.1309,0.11353,0.11646,0.10272
Karabace,1786,0.1206,0.10745,0.11752,0.12491,0.13019,0.09434,0.10591,0.09904,0.13336,0.11044,0.1375,0.13354,0.12562,0.12742,0.13649,0.12689,0.10538,0.10679,0.13063,0.1221
Karabace,1788,0.11804,0.10574,0.11184,0.11451,0.10982,0.13483,0.10456,0.11523,0.11875,0.11727,0.10875,0.13462,0.11263,0.12319,0.12013,0.10344,0.06521,0.12304,0.11615,0.12329
Karabace,1790,0.12156,0.1105,0.11765,0.11081,0.11773,0.10923,0.13572,0.12128,0.1208,0.1215,0.09355,0.11137,0.12418,0.11931,0.11903,0.11669,0.11039,0.12589,0.11185,0.10777
Karabace,1791,0.08953,0.10854,0.12137,0.13518,0.12946,0.08791,0.1105,0.11201,0.12454,0.10779,0.11547,0.12177,0.10715,0.10611,0.11305,0.11126,0.12928,0.11033,0.1283,0.12431
Karabace,1792,0.16622,0.08282,0.13132,0.13586,0.12734,0.13275,0.13068,0.14589,0.127,0.14543,0.12089,0.13368,0.13869,0.13736,0.12677,0.14468,0.13425,0.13443,0.14255,0.14663
Karabace,1793,0.13608,0.15575,0.1637,0.16596,0.14495,0.14441,0.16053,0.14054,0.14557,0.1385,0.0961,0.13388,0.1421,0.15059,0.14936,0.15086,0.1709,0.13952,0.14946,0.14914
Karabace,1795,0.10763,0.11206,0.13478,0.11336,0.1269,0.11787,0.1358,0.12289,0.13074,0.11391,0.10802,0.09605,0.12796,0.13251,0.11006,0.12191,0.1411,0.13019,0.14,0.11104
Karabace,1796,0.11426,0.09733,0.11587,0.12068,0.11651,0.12184,0.11823,0.13015,0.11913,0.11671,0.11795,0.12249,0.11009,0.11384,0.10739,0.11477,0.11882,0.12787,0.09654,0.10443
Karabace,1797,0.21742,0.20072,0.20443,0.20186,0.21823,0.21447,0.20943,0.17602,0.20943,0.20862,0.21638,0.21809,0.21,0.22485,0.19382,0.21847,0.21314,0.19739,0.19149,0.20638
Karabace,1798,0.14104,0.1144,0.09741,0.12823,0.09565,0.12575,0.12326,0.10997,0.11003,0.10767,0.11191,0.1309,0.10876,0.15275,0.12016,0.13818,0.11543,0.12217,0.11974,0.10936
Karabace,1799,0.10426,0.09515,0.1074,0.12257,0.11512,0.1428,0.10186,0.1247,0.10346,0.10543,0.10021,0.10756,0.11501,0.09947,0.1009,0.11528,0.10612,0.10436,0.10553,0.10649
Karabace,1801,0.13202,0.1161,0.1095,0.1255,0.10582,0.10394,0.09817,0.11096,0.09984,0.11363,0.11902,0.11836,0.12295,0.12153,0.11393,0.11572,0.11693,0.10728,0.10536,0.10891
Karabace,1802,0.09618,0.10965,0.11931,0.12595,0.10433,0.10511,0.11863,0.1219,0.11394,0.1077,0.11873,0.08695,0.12214,0.10921,0.11785,0.10247,0.10784,0.12336,0.14977,0.11126
Karabace,1804,0.12268,0.1188,0.13658,0.14752,0.1215,0.13597,0.15336,0.13627,0.14464,0.12006,0.11832,0.12882,0.12834,0.11727,0.11344,0.1164,0.1361,0.12612,0.13732,0.11771
Karabace,1806,0.15399,0.11273,0.14224,0.14108,0.11731,0.13354,0.09687,0.13375,0.119,0.1249,0.13655,0.10056,0.13765,0.14145,0.13655,0.11489,0.14656,0.1475,0.13739,0.13886
