collection.site,maternal.id,seed.1,seed.2,seed.3,seed.4,seed.5,seed.6,seed.7,seed.8,seed.9,seed.10,seed.11,seed.12,seed.13,seed.14,seed.15,seed.16,seed.17,seed.18,seed.19,seed.20
Kayatape,2040,0.17383,0.13924,0.17601,0.16157,0.14721,0.17542,0.15888,0.16451,0.17122,0.18726,0.13806,0.15821,0.0997,0.18104,0.17853,0.1766,0.17475,0.16232,0.18952,0.19582
Kayatape,2042,0.13202,0.12418,0.14478,0.13833,0.1452,0.15711,0.12887,0.13171,0.15353,0.14281,0.1288,0.14302,0.16068,0.13371,0.1356,0.16278,0.12369,0.16348,0.1391,0.16166
Kayatape,2043,0.18516,0.19412,0.17999,0.16638,0.17582,0.14838,0.17504,0.18086,0.19839,0.20851,0.18637,0.18267,0.15217,0.18331,0.20231,0.17594,0.19214,0.18034,0.19809,0.20519
Kayatape,2044,0.17449,0.12906,0.16885,0.17993,0.19744,0.18684,0.18684,0.15781,0.15143,0.16077,0.11856,0.16126,0.19199,0.18713,0.20036,0.18159,0.15776,0.19696,0.16923,0.18081
Kayatape,2045,0.15993,0.16103,0.15403,0.15582,0.17141,0.17614,0.17559,0.15489,0.16358,0.17334,0.16096,0.16586,0.17124,0.16179,0.14434,0.15424,0.14803,0.15579,0.15727,0.17838
Kayatape,2046,0.12829,0.1527,0.144,0.13375,0.13971,0.15117,0.13733,0.14227,0.19577,0.14005,0.14347,0.13823,0.1395,0.1467,0.1425,0.14827,0.14236,0.1404,0.14414,0.1499
Kayatape,2047,0.15007,0.16303,0.1469,0.13244,0.11231,0.13197,0.1392,0.12766,0.15999,0.13693,0.11876,0.14075,0.14171,0.15748,0.14141,0.15138,0.12689,0.14619,0.12934,0.14209
Kayatape,2049,0.1138,0.13997,0.14216,0.13821,0.13728,0.15143,0.14792,0.16696,0.14551,0.17173,0.14995,0.11994,0.14348,0.14787,0.13388,0.13794,0.13486,0.14013,0.15423,0.13706
Kayatape,2050,0.16098,0.15578,0.15659,0.1595,0.15117,0.15954,0.15139,0.16057,0.15896,0.15592,0.16796,0.16136,0.16389,0.1573,0.13066,0.17347,0.15789,0.17835,0.16657,0.16666
Kayatape,2051,0.19711,0.20141,0.14856,0.21362,0.1684,0.19704,0.16574,0.18088,0.19445,0.18688,0.20298,0.18375,0.18,0.17304,0.16649,0.19704,0.18961,0.19486,0.19104,0.1714
