collection.site,maternal.id,seed.1,seed.2,seed.3,seed.4,seed.5,seed.6,seed.7,seed.8,seed.9,seed.10,seed.11,seed.12,seed.13,seed.14,seed.15,seed.16,seed.17,seed.18,seed.19,seed.20
Kesantas,2133,0.16317,0.18238,0.16322,0.18052,0.17627,0.17651,0.18177,0.17161,0.17604,0.18145,0.15328,0.1655,0.17581,0.17166,0.17543,0.1959,0.17231,0.15897,0.18373,0.19917
Kesantas,2134,0.16128,0.16485,0.14953,0.13249,0.14626,0.15143,0.14266,0.13445,0.14636,0.16481,0.15497,0.1568,0.15938,0.14845,0.15333,0.15264,0.14996,0.15955,0.13442,0.15143
Kesantas,2136,0.14474,0.13401,0.13112,0.13394,0.16656,0.12278,0.14126,0.1625,0.11756,0.17294,0.15453,0.14684,0.1717,0.14931,0.15822,0.13278,0.14554,0.15271,0.14532,0.14358
Kesantas,2137,0.17574,0.16529,0.18996,0.18646,0.1859,0.18209,0.18647,0.18601,0.163,0.18357,0.19121,0.1766,0.19078,0.16626,0.18716,0.19372,0.19258,0.17434,0.17219,0.20909
Kesantas,2138,0.13935,0.14454,0.10692,0.15257,0.14284,0.14398,0.16641,0.14284,0.127,0.13795,0.12464,0.13512,0.13948,0.14511,0.12381,0.15707,0.11312,0.14101,0.11696,0.15519
Kesantas,2139,0.17924,0.15259,0.17698,0.15334,0.18112,0.17457,0.17736,0.17216,0.18526,0.17758,0.16697,0.20054,0.18895,0.18458,0.20761,0.18759,0.16317,0.19813,0.18804,0.20325
Kesantas,2140,0.18071,0.17113,0.14975,0.18251,0.1851,0.19634,0.16019,0.19108,0.18158,0.18496,0.16833,0.20095,0.18374,0.20649,0.17754,0.16674,0.1594,0.18669,0.1972,0.19555
Kesantas,2142,0.18525,0.16548,0.18001,0.16729,0.20507,0.18305,0.17534,0.18215,0.16638,0.2098,0.17342,0.16791,0.18486,0.16638,0.20355,0.15659,0.16982,0.1554,0.17235,0.18091
Kesantas,2143,0.18564,0.16514,0.17332,0.17612,0.16692,0.19758,0.18028,0.16301,0.15292,0.16628,0.17218,0.18245,0.19858,0.17467,0.1742,0.16845,0.18202,0.18611,0.17598,0.18358
Kesantas,2144,0.1481,0.15328,0.15536,0.15766,0.16438,0.15814,0.14022,0.14296,0.16779,0.13796,0.13743,0.14832,0.15947,0.14646,0.15328,0.16598,0.14509,0.16385,0.1519,0.16208
