collection.site,maternal.id,seed.1,seed.2,seed.3,seed.4,seed.5,seed.6,seed.7,seed.8,seed.9,seed.10,seed.11,seed.12,seed.13,seed.14,seed.15,seed.16,seed.17,seed.18,seed.19,seed.20
Ortan,2283,0.12787,0.11243,0.11941,0.13595,0.12216,0.11219,0.11683,0.1048,0.11059,0.12791,0.1362,0.11065,0.12274,0.09692,0.09992,0.10952,0.11523,0.12581,0.13041,0.11797
Ortan,2284,0.17643,0.22777,0.17995,0.21704,0.20159,0.18691,0.1772,0.20925,0.17944,0.19265,0.18716,0.20798,0.17101,0.21679,0.17126,0.22656,0.19623,0.18429,0.18512,0.20364
Ortan,2285,0.14623,0.19332,0.20405,0.16506,0.19642,0.20799,0.18243,0.17959,0.21436,0.18106,0.20631,0.1919,0.1929,0.19774,0.21137,0.19742,0.20342,0.19742,0.16648,0.16648
Ortan,2286,0.1594,0.15697,0.15613,0.15812,0.17976,0.1499,0.15237,0.16028,0.15293,0.15014,0.15952,0.15756,0.15736,0.139,0.15916,0.14742,0.16715,0.15952,0.15329,0.16379
Ortan,2287,0.1774,0.17987,0.18088,0.2275,0.16266,0.16298,0.20776,0.21915,0.20327,0.16816,0.1948,0.16652,0.1965,0.18682,0.17968,0.19574,0.19612,0.19049,0.2065,0.18923
Ortan,2289,0.19124,0.20193,0.19671,0.20014,0.19686,0.1982,0.27209,0.19524,0.20297,0.19482,0.19698,0.18298,0.20501,0.18818,0.19845,0.1942,0.19012,0.19894,0.18977,0.19116
Ortan,2290,0.15517,0.16509,0.16534,0.15998,0.15423,0.15931,0.1567,0.16451,0.15235,0.156,0.15472,0.16485,0.15447,0.15584,0.14781,0.16415,0.14526,0.16415,0.18243,0.15113
Ortan,2292,0.20153,0.20806,0.22502,0.20385,0.19334,0.17391,0.21487,0.20262,0.2082,0.15382,0.16825,0.21843,0.21531,0.22234,0.19008,0.19617,0.19385,0.19747,0.19725,0.20523
Ortan,2293,0.19515,0.18492,0.21982,0.20473,0.19822,0.21188,0.19636,0.18649,0.22053,0.2008,0.192,0.16175,0.18971,0.23126,0.22611,0.18113,0.17377,0.192,0.1812,0.18657
Ortan,2294,0.10001,0.0889,0.09409,0.1288,0.11289,0.11815,0.11631,0.1286,0.10967,0.12899,0.12091,0.11644,0.11217,0.12229,0.12775,0.12268,0.11657,0.1148,0.11407,0.10928
Ortan,2295,0.1593,0.15103,0.15445,0.15951,0.15538,0.15662,0.17898,0.15249,0.15781,0.1522,0.15816,0.1549,0.1403,0.15098,0.16603,0.1624,0.15379,0.14947,0.14279,0.15967
Ortan,2297,0.12647,0.09651,0.11455,0.12385,0.13917,0.11542,0.11799,0.11188,0.10956,0.13069,0.11578,0.10247,0.10664,0.1035,0.10371,0.11619,0.11285,0.11088,0.10047,0.12765
Ortan,2298,0.1539,0.15627,0.16374,0.14778,0.15664,0.15123,0.15613,0.15613,0.14366,0.15691,0.16962,0.15211,0.14278,0.13599,0.15123,0.14495,0.14927,0.13893,0.15907,0.14968
Ortan,2299,0.12244,0.10603,0.11419,0.09796,0.11729,0.114,0.11614,0.12984,0.10512,0.09744,0.1107,0.11447,0.12211,0.13666,0.13514,0.12058,0.11796,0.12068,0.11739,0.13371
Ortan,2301,0.15729,0.15037,0.1727,0.14912,0.15913,0.1631,0.15189,0.15853,0.15028,0.15244,0.16407,0.17043,0.16702,0.15678,0.16684,0.14968,0.16347,0.14598,0.14718,0.16444
Ortan,2302,0.19907,0.18746,0.20308,0.1838,0.18488,0.21511,0.20469,0.20469,0.19655,0.2196,0.23648,0.20463,0.18889,0.19015,0.1759,0.19925,0.19458,0.19254,0.18734,0.14783
Ortan,2303,0.2359,0.18583,0.19802,0.22822,0.18676,0.19476,0.22853,0.16999,0.18994,0.19072,0.19778,0.19157,0.21145,0.19747,0.21781,0.17581,0.21548,0.21556,0.19413,0.19025
Ortan,2304,0.16768,0.15742,0.16908,0.15794,0.15292,0.14068,0.15455,0.15868,0.1617,0.17439,0.15993,0.17653,0.15801,0.15005,0.15396,0.16089,0.15683,0.15455,0.1558,0.15765
Ortan,2305,0.14923,0.16156,0.14756,0.15674,0.14843,0.15168,0.1638,0.15905,0.16548,0.1478,0.14777,0.15517,0.1464,0.14874,0.17243,0.15629,0.14756,0.15129,0.13722,0.14951
Ortan,2306,0.16459,0.15711,0.15399,0.17037,0.15342,0.15526,0.14327,0.14939,0.16186,0.16885,0.15311,0.16138,0.1575,0.14996,0.15134,0.15481,0.14579,0.16177,0.14966,0.1384
Ortan,2307,0.14501,0.16884,0.15001,0.15114,0.15795,0.16731,0.15086,0.15631,0.16077,0.15628,0.15168,0.1496,0.17565,0.15175,0.14938,0.15362,0.14266,0.15778,0.15291,0.14841
Ortan,2310,0.17835,0.2187,0.19653,0.20148,0.17518,0.16905,0.19122,0.21229,0.22951,0.20472,0.20603,0.18571,0.19804,0.18854,0.19315,0.19398,0.17456,0.18868,0.23488,0.17814
Ortan,2311,0.15633,0.17135,0.15754,0.15691,0.15662,0.16453,0.15671,0.1583,0.15206,0.1485,0.15474,0.15415,0.14926,0.1511,0.15275,0.1683,0.13189,0.15825,0.1498,0.14984
Ortan,2312,0.18956,0.19396,0.22271,0.22517,0.20997,0.20744,0.1807,0.17303,0.202,0.23008,0.22092,0.18532,0.18576,0.20759,0.17869,0.22219,0.22547,0.22293,0.20461,0.20684
Ortan,2313,0.15919,0.16089,0.17869,0.17249,0.15713,0.15069,0.15325,0.15884,0.15267,0.15193,0.15601,0.1491,0.15383,0.15515,0.14212,0.15651,0.15438,0.16578,0.1517,0.16217
Ortan,2314,0.14612,0.1514,0.1653,0.15342,0.13831,0.16281,0.15565,0.16006,0.14359,0.15001,0.14542,0.14718,0.15874,0.15404,0.14733,0.14975,0.15998,0.1627,0.16266,0.16779
Ortan,2317,0.20601,0.15835,0.18594,0.20185,0.18878,0.17667,0.21447,0.21068,0.17901,0.2001,0.20382,0.18784,0.16397,0.22571,0.19178,0.20053,0.17988,0.17105,0.19659,0.21542
Ortan,2320,0.13016,0.11882,0.1139,0.11774,0.11961,0.09956,0.10498,0.12641,0.09785,0.11511,0.13279,0.12808,0.13583,0.11286,0.10823,0.13625,0.12074,0.11936,0.11711,0.11073
Ortan,2321,0.173,0.22523,0.18921,0.19001,0.19994,0.17146,0.19788,0.21835,0.19074,0.22422,0.17386,0.19221,0.18981,0.19888,0.15992,0.20281,0.19508,0.19094,0.17827,0.16659
Ortan,2322,0.12523,0.11005,0.1435,0.11984,0.11508,0.11433,0.11156,0.11718,0.11172,0.11766,0.13193,0.1217,0.12388,0.11148,0.13502,0.11191,0.1114,0.11956,0.11152,0.09079
Ortan,2323,0.19856,0.19561,0.19786,0.19715,0.16746,0.21935,0.18811,0.17964,0.17413,0.21729,0.22281,0.22865,0.19933,0.17509,0.21159,0.18317,0.16893,0.18958,0.20254,0.20344
Ortan,2324,0.12476,0.14032,0.10656,0.13476,0.12823,0.1205,0.10297,0.12239,0.12598,0.13039,0.10577,0.1104,0.11609,0.1153,0.12629,0.13634,0.11101,0.13618,0.11404,0.12058
Ortan,2325,0.16763,0.17674,0.15352,0.14626,0.15638,0.16012,0.14949,0.17126,0.15054,0.15228,0.15578,0.16023,0.14815,0.15188,0.15682,0.15747,0.14655,0.16019,0.15548,0.1484
Ortan,2326,0.1514,0.20825,0.19009,0.21503,0.19602,0.2344,0.19835,0.20296,0.2164,0.19083,0.2002,0.20163,0.18406,0.17416,0.18776,0.20476,0.17787,0.20227,0.17617,0.20063
