collection.site,maternal.id,seed.1,seed.2,seed.3,seed.4,seed.5,seed.6,seed.7,seed.8,seed.9,seed.10,seed.11,seed.12,seed.13,seed.14,seed.15,seed.16,seed.17,seed.18,seed.19,seed.20
Oyali,2327,0.16472,0.18007,0.20492,0.19925,0.18391,0.16385,0.15627,0.17998,0.15644,0.18129,0.20004,0.186,0.1853,0.18556,0.16132,0.19751,0.17004,0.1785,0.18443,0.1826
Oyali,2328,0.18336,0.20217,0.16326,0.17722,0.19765,0.19217,0.1994,0.18371,0.17775,0.19151,0.19386,0.18161,0.20386,0.19684,0.18056,0.20242,0.18329,0.17512,0.20035,0.19035
Oyali,2329,0.19793,0.16817,0.17697,0.18997,0.20527,0.24198,0.18875,0.15884,0.1564,0.18492,0.22026,0.15471,0.21108,0.20825,0.17299,0.18944,0.20374,0.16695,0.19441,0.19839
Oyali,2330,0.2663,0.26992,0.25284,0.26861,0.27638,0.2749,0.2494,0.25764,0.27199,0.26826,0.24703,0.27431,0.22995,0.27448,0.2647,0.26162,0.27448,0.25219,0.22473,0.24685
Oyali,2331,0.20244,0.19605,0.18911,0.21943,0.18309,0.17906,0.20058,0.18717,0.17951,0.19088,0.17176,0.18526,0.19242,0.20167,0.19346,0.17588,0.18245,0.18662,0.183,0.19677
Oyali,2333,0.20763,0.17603,0.11873,0.16216,0.19391,0.18019,0.17837,0.15873,0.17056,0.19968,0.19267,0.19683,0.20946,0.17019,0.19085,0.21639,0.21318,0.18822,0.17158,0.17837
Oyali,2334,0.12531,0.16453,0.17646,0.18913,0.21692,0.19224,0.20997,0.17434,0.20449,0.17508,0.1982,0.17377,0.16658,0.2183,0.15326,0.20221,0.18619,0.19526,0.17336,0.17393
Oyali,2335,0.27664,0.24021,0.26288,0.22019,0.22019,0.24661,0.26107,0.28332,0.22589,0.27845,0.21797,0.26051,0.21072,0.28387,0.25801,0.24341,0.2569,0.24856,0.30028,0.21797
Oyali,2337,0.1937,0.1765,0.18939,0.1759,0.17159,0.19581,0.18775,0.19878,0.18572,0.19646,0.18426,0.19068,0.19814,0.19887,0.21288,0.19861,0.18784,0.18038,0.20456,0.1765
Oyali,2339,0.17332,0.16482,0.16756,0.19023,0.17072,0.17864,0.1645,0.14738,0.14013,0.17147,0.17122,0.15221,0.18024,0.17317,0.16902,0.17243,0.17083,0.16706,0.17705,0.15719
Oyali,2340,0.19033,0.18909,0.22542,0.20242,0.2095,0.18904,0.18444,0.16757,0.1487,0.20803,0.20614,0.18668,0.19947,0.19216,0.22914,0.20331,0.17789,0.20797,0.19829,0.20655
Oyali,2341,0.22245,0.24251,0.21309,0.22327,0.24533,0.25857,0.23974,0.24509,0.23415,0.2278,0.24862,0.22903,0.24974,0.21868,0.26474,0.2721,0.24251,0.23974,0.20586,0.24439
