collection.site,maternal.id,seed.1,seed.2,seed.3,seed.4,seed.5,seed.6,seed.7,seed.8,seed.9,seed.10,seed.11,seed.12,seed.13,seed.14,seed.15,seed.16,seed.17,seed.18,seed.19,seed.20
S2Drd,2494,0.15479,0.14987,0.15215,0.1615,0.159,0.17855,0.14908,0.14651,0.17042,0.1702,0.17441,0.19139,0.16071,0.16128,0.17327,0.17049,0.17348,0.15322,0.16842,0.16421
S2Drd,2495,0.1163,0.13325,0.10619,0.11931,0.12618,0.12214,0.10612,0.12303,0.12891,0.119,0.123,0.11996,0.14104,0.13123,0.11534,0.11818,0.119,0.0972,0.11616,0.12912
S2Drd,2496,0.14434,0.16623,0.14863,0.1467,0.14716,0.149,0.16255,0.15412,0.12686,0.15013,0.15952,0.15562,0.15446,0.1409,0.16172,0.14602,0.14768,0.14118,0.15323,0.14719
S2Drd,2497,0.14384,0.14342,0.13573,0.16357,0.18139,0.13387,0.16447,0.15652,0.14702,0.17423,0.15169,0.16023,0.1544,0.14686,0.14151,0.15493,0.15927,0.16262,0.15975,0.14336
S2Drd,2498,0.13606,0.13958,0.15289,0.13382,0.15064,0.14971,0.15331,0.12958,0.13704,0.14399,0.1562,0.14348,0.15819,0.15251,0.14844,0.14999,0.14132,0.14018,0.13568,0.14734
S2Drd,2499,0.15488,0.13152,0.14206,0.11796,0.12711,0.14804,0.12689,0.14199,0.14225,0.12035,0.14307,0.12839,0.13593,0.13578,0.13773,0.12861,0.15096,0.14124,0.12379,0.12599
S2Drd,2500,0.17557,0.16114,0.18224,0.16145,0.16249,0.16455,0.17494,0.16233,0.16859,0.16598,0.17438,0.17264,0.1674,0.19231,0.1799,0.15471,0.16034,0.16352,0.14218,0.18588
S2Drd,2501,0.12434,0.14256,0.13509,0.1133,0.14817,0.13281,0.1267,0.14577,0.13745,0.13706,0.14995,0.14017,0.12173,0.13809,0.1427,0.14828,0.14931,0.1517,0.14152,0.14145
S2Drd,2502,0.177,0.19725,0.16517,0.17527,0.16571,0.16847,0.13723,0.18094,0.16877,0.15768,0.16231,0.17409,0.1736,0.17104,0.16621,0.16423,0.17316,0.15837,0.16359,0.16921
S2Drd,2503,0.14274,0.14167,0.1589,0.15478,0.14324,0.15568,0.14499,0.15535,0.14432,0.15005,0.14794,0.15019,0.15441,0.13972,0.14593,0.14995,0.17711,0.14549,0.16095,0.14009
