collection.site,maternal.id,seed.1,seed.2,seed.3,seed.4,seed.5,seed.6,seed.7,seed.8,seed.9,seed.10,seed.11,seed.12,seed.13,seed.14,seed.15,seed.16,seed.17,seed.18,seed.19,seed.20
Sarikaya,2725,0.17952,0.16178,0.16645,0.17383,0.15868,0.14992,0.17703,0.17297,0.1731,0.18979,0.16715,0.16082,0.17144,0.16821,0.18998,0.17003,0.16613,0.15369,0.16757,0.181
Sarikaya,2726,0.1618,0.17639,0.15545,0.13838,0.17565,0.16941,0.16235,0.16902,0.15168,0.18055,0.1691,0.17859,0.17976,0.16933,0.16851,0.16859,0.17121,0.1578,0.16458,0.15792
Sarikaya,2728,0.14724,0.17217,0.21042,0.16932,0.20201,0.19902,0.19197,0.20094,0.21462,0.17651,0.20472,0.1914,0.19503,0.20693,0.22986,0.19845,0.19731,0.20857,0.20785,0.1815
Sarikaya,2729,0.1666,0.17332,0.17087,0.17007,0.16244,0.16068,0.16091,0.16515,0.17072,0.17748,0.16931,0.14725,0.17996,0.16431,0.16332,0.18309,0.15691,0.15878,0.19446,0.16099
Sarikaya,2730,0.15617,0.17616,0.16655,0.16361,0.18117,0.17846,0.17065,0.17826,0.15252,0.16601,0.1649,0.16351,0.15938,0.16953,0.1579,0.1675,0.17721,0.17322,0.19767,0.17761
Sarikaya,2731,0.16917,0.15334,0.14287,0.14337,0.19373,0.15678,0.18274,0.17063,0.15272,0.18302,0.14084,0.14833,0.15509,0.15571,0.14906,0.14963,0.14067,0.16478,0.16247,0.17041
Sarikaya,2732,0.19006,0.13502,0.21224,0.1934,0.18913,0.18398,0.19011,0.20013,0.19658,0.19822,0.18852,0.15933,0.20364,0.18015,0.16448,0.1871,0.2026,0.16914,0.19723,0.16372
Sarikaya,2734,0.14887,0.13813,0.14621,0.14857,0.14831,0.12433,0.13803,0.16162,0.14473,0.1261,0.1401,0.14013,0.16129,0.14663,0.14752,0.13888,0.142,0.14749,0.14765,0.13977
Sarikaya,2735,0.16614,0.17483,0.17203,0.18194,0.17144,0.16373,0.16418,0.16736,0.16531,0.17739,0.16567,0.17822,0.18851,0.14583,0.19068,0.18911,0.17251,0.17126,0.16623,0.1742
Sarikaya,2737,0.12779,0.12795,0.14739,0.11818,0.12821,0.12574,0.14883,0.13783,0.11519,0.11725,0.14251,0.14194,0.15408,0.13032,0.12486,0.13865,0.13927,0.11329,0.14976,0.14065
