collection.site,maternal.id,seed.1,seed.2,seed.3,seed.4,seed.5,seed.6,seed.7,seed.8,seed.9,seed.10,seed.11,seed.12,seed.13,seed.14,seed.15,seed.16,seed.17,seed.18,seed.19,seed.20
Savur-Pina,2815,0.02001,0.02673,0.02702,0.03149,0.023,0.01701,0.02864,0.02702,0.02817,0.02752,0.02091,0.02855,0.02951,0.03036,0.02978,0.0246,0.02576,0.02414,0.02762,0.02716
Savur-Pina,2816,0.02649,0.02453,0.02759,0.02581,0.03179,0.02141,0.02689,0.02772,0.02704,0.02662,0.02498,0.02414,0.02904,0.02894,0.02388,0.02822,0.0344,0.02353,0.02702,0.01668
Savur-Pina,2818,0.03101,0.03355,0.02762,0.02598,0.02288,0.02769,0.02586,0.03129,0.02957,0.01979,0.02418,0.02627,0.02999,0.02574,0.02035,0.02785,0.02999,0.02627,0.032,0.02973
Savur-Pina,2820,0.01872,0.02093,0.02419,0.02143,0.02847,0.02463,0.02984,0.02902,0.02698,0.02368,0.02204,0.02891,0.02377,0.02459,0.02524,0.02734,0.02551,0.02919,0.02179,0.03383
Savur-Pina,2821,0.0283,0.0181,0.02526,0.02463,0.01955,0.02963,0.0256,0.02828,0.02387,0.0286,0.02783,0.029,0.02624,0.02222,0.02696,0.02781,0.02293,0.03045,0.02275,0.01854
Savur-Pina,2823,0.03119,0.0244,0.02437,0.02294,0.03095,0.02596,0.02946,0.02913,0.03551,0.01926,0.02559,0.0269,0.02675,0.02474,0.03062,0.02553,0.02863,0.02493,0.02642,0.02219
Savur-Pina,2824,0.02182,0.02843,0.02882,0.02192,0.0265,0.02218,0.02462,0.02386,0.02109,0.02594,0.02087,0.01644,0.02436,0.02668,0.02584,0.02717,0.02769,0.02837,0.03019,0.03146
Savur-Pina,2825,0.0215,0.01674,0.02222,0.02708,0.02631,0.02219,0.02815,0.02839,0.02683,0.02361,0.03023,0.02769,0.02466,0.02973,0.01997,0.02659,0.03064,0.02717,0.02863,0.02347
Savur-Pina,2827,0.02103,0.02791,0.02614,0.02557,0.02729,0.02491,0.03208,0.03163,0.03653,0.03227,0.02634,0.02669,0.02888,0.02439,0.02772,0.022,0.02679,0.02829,0.02559,0.02369
Savur-Pina,2829,0.02736,0.02993,0.02834,0.02066,0.03315,0.02614,0.02982,0.02168,0.02403,0.02605,0.02686,0.02747,0.0311,0.03299,0.02446,0.0272,0.02458,0.02524,0.02795,0.03468
Savur-Pina,2830,0.02652,0.02579,0.02337,0.02565,0.02525,0.02857,0.02572,0.03692,0.02569,0.02134,0.02886,0.02536,0.02678,0.02835,0.02283,0.02868,0.01936,0.03146,0.02641,0.02774
Savur-Pina,2831,0.01853,0.02511,0.02126,0.02867,0.02191,0.02652,0.03016,0.03043,0.02809,0.02187,0.02661,0.02918,0.03055,0.02835,0.03263,0.02867,0.02834,0.02585,0.03043,0.02495
Savur-Pina,2832,0.03269,0.02808,0.02304,0.02489,0.03017,0.02948,0.0236,0.02854,0.02719,0.02954,0.02192,0.02433,0.02388,0.02806,0.02092,0.03416,0.02562,0.02562,0.02443,0.02115
Savur-Pina,2833,0.02463,0.02979,0.02845,0.02662,0.02986,0.02361,0.0271,0.02253,0.01768,0.02569,0.02263,0.02767,0.01992,0.01885,0.02789,0.02712,0.02661,0.02465,0.03087,0.02256
Savur-Pina,2837,0.0252,0.02702,0.0293,0.02704,0.03023,0.02542,0.02455,0.02741,0.02691,0.01811,0.02964,0.02702,0.02259,0.02805,0.02681,0.02719,0.0305,0.0208,0.02955,0.03523
Savur-Pina,2838,0.02654,0.02339,0.02737,0.02329,0.02339,0.02492,0.03408,0.01937,0.031,0.02641,0.02047,0.02941,0.02343,0.02911,0.02898,0.02439,0.02789,0.02819,0.02376,0.0303
Savur-Pina,2839,0.02468,0.02507,0.02174,0.02479,0.0222,0.02438,0.02969,0.02462,0.03032,0.02702,0.03085,0.03482,0.03194,0.02332,0.0282,0.03126,0.0275,0.0229,0.02345,0.02559
Savur,2800,0.11267,0.13937,0.14775,0.13814,0.14992,0.1276,0.13753,0.13631,0.14045,0.12943,0.12957,0.15571,0.1315,0.11031,0.10989,0.12609,0.13763,0.16414,0.15189,0.13659
Savur,2801,0.17322,0.16077,0.12485,0.13465,0.14049,0.13238,0.17598,0.15725,0.12968,0.15464,0.14996,0.16077,0.14426,0.14025,0.14131,0.16463,0.13533,0.14735,0.14233,0.13523
Savur,2802,0.15467,0.1464,0.12999,0.1627,0.16354,0.13328,0.15037,0.16237,0.11715,0.12486,0.13943,0.12726,0.13328,0.15746,0.12145,0.1286,0.1301,0.14456,0.14233,0.14333
Savur,2803,0.11551,0.13766,0.1602,0.16594,0.1651,0.14212,0.14534,0.14864,0.14954,0.13198,0.11099,0.15225,0.14593,0.16271,0.13514,0.14799,0.1458,0.1518,0.1538,0.14412
Savur,2804,0.15417,0.15408,0.12586,0.14399,0.09896,0.15476,0.15144,0.16017,0.15317,0.13877,0.13708,0.13254,0.14731,0.15799,0.14508,0.13699,0.13495,0.12404,0.14299,0.13768
Savur,2806,0.15297,0.14985,0.14358,0.14773,0.15155,0.15744,0.12672,0.13037,0.13545,0.13376,0.15286,0.10544,0.13758,0.1265,0.1295,0.14385,0.1408,0.15591,0.17075,0.14685
Savur,2807,0.13836,0.14981,0.15298,0.14201,0.14368,0.14132,0.12752,0.15684,0.12799,0.14582,0.13163,0.15204,0.14304,0.11028,0.14496,0.15011,0.109,0.1117,0.14574,0.1279
Savur,2808,0.1237,0.13825,0.142,0.16238,0.13739,0.14417,0.16731,0.14846,0.13355,0.13821,0.17563,0.14855,0.12275,0.15805,0.14214,0.15791,0.16898,0.13617,0.14015,0.14679
Savur,2810,0.13999,0.14479,0.13982,0.14619,0.19308,0.18138,0.15243,0.15191,0.13774,0.15291,0.14732,0.13649,0.13578,0.14446,0.14101,0.138,0.14865,0.14387,0.14493,0.1421
Savur,2811,0.12095,0.14896,0.15112,0.14527,0.16478,0.15498,0.13903,0.15941,0.16266,0.12962,0.11856,0.1526,0.16682,0.14245,0.13604,0.13981,0.14714,0.15173,0.12156,0.13443
Savur,2812,0.15289,0.15846,0.15119,0.18012,0.1377,0.13417,0.15851,0.14574,0.16446,0.11639,0.13851,0.14017,0.14204,0.12064,0.13187,0.14093,0.14851,0.1443,0.15029,0.14812
Savur,2813,0.1668,0.13981,0.16391,0.12991,0.13234,0.15704,0.15872,0.15731,0.13328,0.15549,0.14418,0.14216,0.14237,0.13261,0.1567,0.16148,0.15576,0.16801,0.13469,0.11692
Savur,2814,0.15766,0.14986,0.15682,0.11688,0.14432,0.16004,0.1698,0.16277,0.12888,0.1367,0.14724,0.16674,0.1576,0.16539,0.15129,0.15272,0.1367,0.15081,0.1298,0.13301
