collection.site,maternal.id,seed.1,seed.2,seed.3,seed.4,seed.5,seed.6,seed.7,seed.8,seed.9,seed.10,seed.11,seed.12,seed.13,seed.14,seed.15,seed.16,seed.17,seed.18,seed.19,seed.20
Sirnak,2926,0.10199,0.11859,0.12281,0.12128,0.11215,0.12308,0.12711,0.10598,0.10885,0.11909,0.12485,0.12024,0.12926,0.12381,0.11741,0.1105,0.1148,0.12603,0.10728,0.10724
Sirnak,2927,0.09401,0.12182,0.11731,0.124,0.11435,0.12517,0.12965,0.12602,0.12946,0.11997,0.11739,0.12423,0.12008,0.11333,0.12575,0.11598,0.12578,0.10713,0.13006,0.11695
Sirnak,2928,0.11462,0.11886,0.11329,0.11548,0.10408,0.11571,0.10846,0.09881,0.13136,0.1074,0.10633,0.12416,0.11194,0.10865,0.11333,0.12214,0.12754,0.11697,0.10256,0.12294
Sirnak,2929,0.11084,0.13322,0.13918,0.1206,0.1567,0.11908,0.13386,0.13783,0.14496,0.14257,0.13392,0.1237,0.13211,0.13211,0.13526,0.14473,0.13299,0.13667,0.13772,0.13421
Sirnak,2932,0.10758,0.10433,0.11818,0.1087,0.12257,0.11658,0.12263,0.11717,0.12411,0.10605,0.11449,0.11041,0.11283,0.11428,0.109,0.12916,0.11449,0.10734,0.10708,0.11939
Sirnak,2933,0.1072,0.09871,0.11784,0.10952,0.10707,0.11614,0.12034,0.09735,0.11758,0.10226,0.09665,0.12192,0.12463,0.11719,0.10834,0.09153,0.10961,0.09254,0.12538,0.11671
Sirnak,2934,0.11481,0.13517,0.11278,0.10368,0.12272,0.10543,0.11231,0.12607,0.13032,0.11803,0.12845,0.12432,0.09971,0.11037,0.12513,0.12394,0.11416,0.10794,0.12347,0.12607
Sirnak,2935,0.11239,0.10307,0.12052,0.11972,0.10409,0.12335,0.1108,0.10638,0.10341,0.11137,0.11658,0.11026,0.0871,0.11383,0.11576,0.11325,0.11168,0.1208,0.11919,0.10188
Sirnak,2936,0.1262,0.10991,0.11049,0.11732,0.11714,0.11989,0.11428,0.12073,0.10991,0.11057,0.11691,0.10791,0.1073,0.11214,0.11421,0.10578,0.11782,0.11173,0.10457,0.11484
Sirnak,2937,0.12885,0.11255,0.1149,0.12924,0.11023,0.12273,0.10124,0.115,0.1209,0.12544,0.11571,0.12431,0.12541,0.13002,0.10855,0.11961,0.12657,0.12041,0.11458,0.10868
Sirnak,2938,0.12424,0.15609,0.1336,0.13646,0.13485,0.1309,0.12418,0.13643,0.13559,0.11858,0.13609,0.13441,0.11691,0.13416,0.14035,0.11579,0.13777,0.13777,0.12717,0.12642
Sirnak,2939,0.12638,0.12484,0.12542,0.13182,0.13251,0.12346,0.12859,0.12927,0.13343,0.12274,0.11837,0.1323,0.12683,0.14017,0.13158,0.12759,0.13178,0.1345,0.12133,0.11277
Sirnak,2940,0.12199,0.12717,0.11646,0.13229,0.13121,0.139,0.12968,0.13913,0.14098,0.13387,0.13544,0.12433,0.12874,0.14795,0.14678,0.156,0.13751,0.12114,0.15051,0.14375
Sirnak,2941,0.12049,0.10965,0.11009,0.11586,0.11895,0.11996,0.10994,0.09011,0.11958,0.11258,0.1117,0.10275,0.12469,0.11766,0.10653,0.1013,0.10949,0.11164,0.10215,0.10411
Sirnak,2942,0.10608,0.12496,0.11957,0.12526,0.13202,0.11458,0.11177,0.1222,0.11524,0.11073,0.12306,0.11556,0.11023,0.12813,0.11402,0.12031,0.12787,0.11577,0.13086,0.12478
Sirnak,2944,0.106,0.1099,0.12016,0.10297,0.11325,0.11921,0.11903,0.11048,0.09765,0.09164,0.11637,0.12152,0.10843,0.11031,0.12264,0.11669,0.11253,0.09658,0.10869,0.11282
Sirnak,2945,0.14771,0.14369,0.13045,0.13837,0.12069,0.13416,0.12585,0.14254,0.12042,0.14078,0.15173,0.12643,0.13182,0.12888,0.15468,0.11862,0.12953,0.1296,0.1283,0.12344
Sirnak,2947,0.12788,0.11622,0.12012,0.12417,0.13708,0.11645,0.12055,0.10682,0.13341,0.11513,0.12909,0.10713,0.123,0.11704,0.1278,0.12109,0.11099,0.12733,0.11977,0.11786
Sirnak,2948,0.14681,0.13136,0.13728,0.15047,0.12345,0.14036,0.11181,0.12413,0.12873,0.12315,0.13342,0.12717,0.12405,0.12487,0.11374,0.13757,0.1319,0.13329,0.11563,0.13021
Sirnak,2949,0.11045,0.11245,0.11744,0.11698,0.12169,0.11854,0.11488,0.1005,0.12627,0.12248,0.11956,0.10229,0.09937,0.11739,0.119,0.11114,0.11362,0.11595,0.11396,0.11629
Sirnak,2950,0.11853,0.11637,0.13239,0.11731,0.12831,0.10173,0.11395,0.12987,0.11016,0.12056,0.11031,0.11109,0.11676,0.11757,0.1172,0.1152,0.12282,0.11676,0.12482,0.11988
Sirnak,2951,0.11763,0.11085,0.13211,0.12306,0.1101,0.12026,0.10653,0.10332,0.13376,0.12801,0.11313,0.10747,0.12106,0.10283,0.11981,0.12141,0.10092,0.12208,0.12337,0.12551
Sirnak,2952,0.16097,0.12553,0.13174,0.13359,0.15413,0.1397,0.14585,0.15291,0.14426,0.1259,0.13609,0.12829,0.15227,0.13683,0.14893,0.12394,0.12993,0.13773,0.14458,0.13566
Sirnak,2953,0.12209,0.12015,0.11801,0.1208,0.12047,0.11796,0.11205,0.11779,0.11834,0.12032,0.16434,0.11599,0.11762,0.11981,0.11561,0.12531,0.12039,0.11856,0.12131,0.11396
Sirnak,2954,0.13811,0.13075,0.12214,0.129,0.09097,0.12991,0.12256,0.12634,0.12494,0.13467,0.13804,0.12858,0.11478,0.12956,0.11275,0.10946,0.13502,0.12102,0.12305,0.13005
Sirnak,2956,0.11491,0.12578,0.11665,0.11923,0.12592,0.12797,0.11281,0.11738,0.12007,0.12004,0.09779,0.11598,0.11553,0.11396,0.11245,0.11858,0.12659,0.12755,0.11132,0.12245
Sirnak,2957,0.1122,0.12166,0.10889,0.11057,0.1027,0.10027,0.10958,0.11542,0.12077,0.12097,0.1329,0.12731,0.12112,0.1074,0.11726,0.12047,0.11052,0.11102,0.11186,0.11577
Sirnak,2958,0.12294,0.07182,0.09354,0.12385,0.11679,0.14649,0.14011,0.12317,0.15242,0.09187,0.11967,0.11542,0.1076,0.09962,0.10839,0.09795,0.12218,0.10669,0.1193,0.1509
Sirnak,2959,0.09827,0.10348,0.08724,0.09873,0.10408,0.10422,0.10892,0.10636,0.10952,0.09822,0.12739,0.09538,0.12813,0.11134,0.11827,0.09636,0.11906,0.1059,0.09799,0.10283
Sirnak,2960,0.1279,0.1235,0.12721,0.13018,0.12207,0.13077,0.12175,0.14349,0.13686,0.11364,0.13448,0.1279,0.12631,0.10542,0.13501,0.13304,0.13108,0.12112,0.12181,0.13797
Sirnak,2961,0.12472,0.13129,0.11285,0.11891,0.11902,0.12458,0.12581,0.11649,0.12559,0.12985,0.11021,0.13202,0.13292,0.13064,0.12815,0.12714,0.13194,0.13024,0.12942,0.10061
Sirnak,2962,0.10661,0.11976,0.11494,0.11415,0.11746,0.11902,0.14163,0.1215,0.13002,0.12023,0.12111,0.11473,0.12193,0.11613,0.11984,0.10167,0.11843,0.11333,0.11465,0.11899
Sirnak,2963,0.1194,0.1286,0.12876,0.11956,0.12752,0.12167,0.13148,0.12095,0.12504,0.13118,0.12964,0.11921,0.12386,0.1295,0.14097,0.12588,0.1224,0.12948,0.11934,0.1392
Sirnak,2964,0.10452,0.10777,0.11144,0.12957,0.11425,0.11349,0.11369,0.10945,0.11027,0.11418,0.10102,0.11287,0.11576,0.11548,0.09936,0.12005,0.11206,0.10692,0.12161,0.11019
Sirnak,2965,0.12283,0.14584,0.14344,0.1255,0.12547,0.12781,0.1206,0.12749,0.13728,0.12392,0.11621,0.12075,0.1374,0.11858,0.1199,0.13025,0.13611,0.13233,0.1192,0.11805
Sirnak,2967,0.11512,0.11421,0.11352,0.11392,0.13185,0.12119,0.11607,0.11432,0.11258,0.10543,0.12996,0.10774,0.11909,0.11785,0.10847,0.11156,0.1273,0.11429,0.11607,0.11512
Sirnak,2968,0.12221,0.11946,0.119,0.13037,0.10323,0.1236,0.13151,0.14588,0.11219,0.11823,0.12491,0.1105,0.1198,0.11109,0.12386,0.12157,0.12622,0.11042,0.11227,0.10839
Sirnak,2969,0.14572,0.15589,0.15188,0.14279,0.14743,0.17516,0.14761,0.13311,0.1449,0.15337,0.15053,0.15796,0.15053,0.15778,0.13203,0.13,0.14801,0.13811,0.14081,0.15958
Sirnak,2971,0.10768,0.11489,0.12696,0.11041,0.10512,0.11665,0.1168,0.10547,0.10992,0.11628,0.11223,0.12994,0.12485,0.1127,0.112,0.10818,0.10815,0.11533,0.11342,0.1042
Sirnak,2972,0.14089,0.13622,0.14395,0.12018,0.12355,0.15652,0.16015,0.14136,0.15283,0.14634,0.14754,0.13482,0.15039,0.12625,0.13414,0.13643,0.15553,0.12879,0.13658,0.1399
Sirnak,2973,0.1022,0.09919,0.10125,0.11118,0.11702,0.11032,0.11613,0.1128,0.10328,0.11403,0.09665,0.12139,0.1233,0.12009,0.10623,0.09843,0.11108,0.10601,0.10065,0.10861
Sirnak,2974,0.11068,0.09895,0.11368,0.10675,0.12038,0.10898,0.12371,0.11571,0.11775,0.1264,0.12552,0.09876,0.12632,0.11321,0.11143,0.11656,0.10252,0.11711,0.11439,0.10876
Sirnak,2975,0.11927,0.1231,0.1317,0.14089,0.13769,0.12505,0.13514,0.12703,0.11186,0.15519,0.13626,0.13967,0.13396,0.12902,0.13257,0.12606,0.135,0.13762,0.13518,0.15234
Sirnak,2976,0.1433,0.11679,0.12633,0.13891,0.1461,0.12807,0.13007,0.12108,0.14136,0.15034,0.13626,0.14535,0.14056,0.12528,0.11539,0.13182,0.13636,0.13222,0.13312,0.1471
Sirnak,2977,0.11002,0.11719,0.1164,0.11548,0.11408,0.13677,0.12969,0.11098,0.12296,0.1185,0.13943,0.13143,0.12007,0.12221,0.12361,0.11522,0.09817,0.10285,0.13353,0.1206
Sirnak,2978,0.12516,0.1121,0.12516,0.12713,0.12358,0.11203,0.13988,0.11066,0.11754,0.10852,0.13679,0.14434,0.11403,0.11723,0.12565,0.11006,0.11919,0.14016,0.12987,0.11241
Sirnak,2979,0.07898,0.11654,0.07134,0.12943,0.11018,0.11654,0.1136,0.10063,0.13015,0.11654,0.12521,0.12569,0.12625,0.0754,0.12338,0.13747,0.08909,0.13842,0.12482,0.08853
Sirnak,2980,0.12178,0.11447,0.10556,0.1213,0.12019,0.09907,0.13193,0.10182,0.14655,0.12229,0.11158,0.11632,0.12401,0.11468,0.11786,0.12182,0.10763,0.10905,0.1213,0.1152
Sirnak,2981,0.12381,0.07237,0.11552,0.11189,0.12472,0.13551,0.1304,0.14528,0.11779,0.13426,0.18582,0.06658,0.08486,0.13403,0.143,0.13187,0.09985,0.1614,0.12461,0.12313
Sirnak,2982,0.11806,0.11746,0.11343,0.12085,0.14407,0.11937,0.12628,0.12709,0.12336,0.11833,0.11407,0.12306,0.12014,0.11255,0.12585,0.12041,0.12397,0.11272,0.11514,0.11678
Sirnak,2983,0.14165,0.13794,0.13787,0.14015,0.13669,0.12871,0.1189,0.13309,0.13452,0.10575,0.11256,0.12863,0.12568,0.1333,0.13277,0.14008,0.13127,0.13698,0.1358,0.13281
Sirnak,2984,0.12409,0.11769,0.12535,0.12853,0.13984,0.10368,0.1252,0.11811,0.12081,0.11906,0.10067,0.12493,0.11426,0.11029,0.11848,0.14327,0.11309,0.12298,0.1067,0.11484
Sirnak,2985,0.13737,0.12426,0.11865,0.1295,0.12713,0.12183,0.1301,0.12,0.12412,0.11259,0.12155,0.13289,0.13376,0.14893,0.13376,0.12203,0.13365,0.13971,0.12527,0.12429
Sirnak,2986,0.12583,0.13518,0.12952,0.13085,0.12215,0.12872,0.13251,0.12239,0.09494,0.12854,0.12304,0.11467,0.12374,0.11222,0.12765,0.12027,0.108,0.14889,0.12497,0.13011
Sirnak,2988,0.16685,0.13921,0.14062,0.13718,0.14726,0.14191,0.1384,0.12087,0.12991,0.15146,0.14039,0.15073,0.12807,0.13346,0.12427,0.13877,0.14006,0.15696,0.12958,0.14696
Sirnak,2989,0.12252,0.12467,0.11893,0.15162,0.13841,0.10663,0.13027,0.12706,0.1219,0.1397,0.12759,0.13458,0.12295,0.12367,0.11218,0.13453,0.12611,0.13376,0.12099,0.12027
Sirnak,2990,0.14167,0.14869,0.14226,0.14009,0.15227,0.14328,0.14617,0.13406,0.13857,0.14737,0.14996,0.14669,0.14284,0.14088,0.13927,0.13965,0.14207,0.10075,0.13991,0.15181
Sirnak,2991,0.11469,0.13826,0.12034,0.11551,0.1158,0.11833,0.11804,0.11895,0.11661,0.13157,0.11356,0.11758,0.11807,0.12966,0.12956,0.11336,0.0908,0.11132,0.12807,0.1193
Sirnak,2993,0.11765,0.11543,0.11664,0.12707,0.12161,0.10466,0.11804,0.12087,0.12258,0.12192,0.11562,0.11978,0.10371,0.10042,0.12577,0.12179,0.11804,0.11052,0.11897,0.1134
Sirnak,2994,0.13533,0.12471,0.1373,0.1527,0.15319,0.13632,0.15066,0.14806,0.13969,0.14131,0.13688,0.13765,0.12246,0.13885,0.10967,0.12689,0.14749,0.14328,0.12422,0.14025
Sirnak,2995,0.13642,0.1181,0.12796,0.1411,0.13221,0.13089,0.12673,0.11827,0.13111,0.12702,0.13557,0.13111,0.12293,0.14994,0.1201,0.12873,0.13982,0.13612,0.13514,0.153
Sirnak,2996,0.1185,0.11587,0.15945,0.1184,0.11776,0.11895,0.11975,0.11742,0.11597,0.12159,0.11736,0.11611,0.11306,0.11365,0.11538,0.1175,0.11744,0.11228,0.11784,0.11856
Sirnak,2998,0.12641,0.12137,0.12283,0.12341,0.11212,0.12586,0.12528,0.1292,0.13831,0.13542,0.13399,0.12134,0.13933,0.14332,0.12127,0.11246,0.12692,0.11698,0.12263,0.12831
Sirnak,3001,0.12855,0.13117,0.12228,0.11096,0.11808,0.12131,0.12423,0.12022,0.1257,0.12315,0.11324,0.12716,0.13012,0.11771,0.11778,0.10923,0.12048,0.10304,0.12157,0.12127
Sirnak,3002,0.14921,0.10564,0.13939,0.11117,0.11253,0.12118,0.12755,0.11994,0.1139,0.11851,0.12508,0.11422,0.11273,0.12085,0.12313,0.12268,0.11734,0.12124,0.10362,0.11234
Sirnak,3003,0.09656,0.11085,0.10495,0.11924,0.09182,0.11072,0.10965,0.1147,0.11646,0.10381,0.10233,0.10501,0.117,0.11924,0.10703,0.10873,0.1076,0.12612,0.11302,0.11126
Sirnak,3004,0.15898,0.15611,0.13926,0.13198,0.14858,0.13327,0.13127,0.14775,0.1252,0.12902,0.13477,0.1361,0.14558,0.1502,0.13526,0.16077,0.1361,0.13493,0.15473,0.13414
Sirnak,3005,0.10106,0.1664,0.14158,0.10698,0.13349,0.10595,0.16574,0.10115,0.11525,0.14177,0.09626,0.17552,0.072,0.11102,0.10848,0.08883,0.14177,0.10576,0.13124,0.10585
Sirnak,3006,0.13467,0.11795,0.123,0.11573,0.13214,0.11814,0.20472,0.1215,0.12952,0.11803,0.12885,0.13529,0.12253,0.11663,0.11578,0.11891,0.09661,0.1149,0.11925,0.11296
Sirnak,3007,0.11886,0.1223,0.12056,0.10868,0.12637,0.11229,0.11865,0.11695,0.12421,0.12136,0.10478,0.13358,0.12552,0.11924,0.11318,0.10728,0.12293,0.11576,0.08811,0.12213
Sirnak,3008,0.12423,0.12905,0.14016,0.13935,0.11635,0.13376,0.12945,0.09309,0.1319,0.13184,0.1254,0.13662,0.13127,0.13364,0.12929,0.12904,0.12688,0.12947,0.13287,0.13736
Sirnak,3010,0.12951,0.11921,0.13024,0.11053,0.09329,0.10901,0.09319,0.10772,0.1172,0.11428,0.11425,0.11253,0.11244,0.113,0.10835,0.12164,0.11314,0.10401,0.12531,0.10911
Sirnak,3011,0.12518,0.15101,0.15338,0.14198,0.11978,0.15036,0.13435,0.15361,0.13384,0.14859,0.14752,0.13495,0.14919,0.13319,0.12904,0.12867,0.12346,0.14044,0.14314,0.13723
Sirnak,3012,0.12128,0.10464,0.11651,0.1128,0.12166,0.10816,0.12215,0.11853,0.10196,0.11351,0.11554,0.11148,0.11638,0.11287,0.11162,0.10852,0.11829,0.11716,0.11568,0.11835
Sirnak,3013,0.15292,0.12132,0.12441,0.12498,0.13099,0.12456,0.11784,0.1199,0.12239,0.11425,0.11151,0.11738,0.12281,0.10714,0.1135,0.12456,0.12527,0.12424,0.15001,0.11908
Sirnak,3014,0.10914,0.12375,0.11271,0.12061,0.10931,0.11053,0.11262,0.11845,0.1126,0.11405,0.11501,0.10763,0.11901,0.10946,0.09315,0.11759,0.10084,0.11782,0.11038,0.10533
Sirnak,3015,0.11208,0.11154,0.11366,0.09996,0.1073,0.10694,0.10901,0.10063,0.09689,0.10027,0.12042,0.11672,0.10198,0.10059,0.08855,0.10987,0.12934,0.12362,0.10748,0.08833
Sirnak,3016,0.11701,0.10392,0.10791,0.11971,0.12808,0.1275,0.11782,0.10557,0.11902,0.11708,0.09467,0.10957,0.12091,0.11631,0.11859,0.11124,0.13009,0.11069,0.11712,0.11491
Sirnak,3017,0.12625,0.10438,0.12933,0.12036,0.08636,0.11477,0.11019,0.12622,0.09987,0.12914,0.11496,0.12877,0.1219,0.12145,0.12757,0.11038,0.12066,0.1222,0.12074,0.11192
Sirnak,3018,0.1213,0.10531,0.11722,0.10477,0.11463,0.11304,0.11101,0.10585,0.11876,0.12097,0.11053,0.11684,0.11628,0.11806,0.09384,0.1028,0.11034,0.11949,0.1159,0.11387
Sirnak,3020,0.1457,0.15712,0.14576,0.14159,0.15295,0.13882,0.13989,0.14216,0.14513,0.15971,0.14153,0.13623,0.14317,0.14469,0.14292,0.14191,0.17138,0.1681,0.15945,0.12954
