"samp","genotypeLabels...3."
"1030_Cudi2","Plate_10_Samp_1"
"2226_Kesentas","Plate_10_Samp_10"
"980_Cudi2","Plate_10_Samp_11"
"3049_Sirnak","Plate_10_Samp_12"
"1319_Destek","Plate_10_Samp_13"
"2832_Savur-Pina","Plate_10_Samp_14"
"1925_Karabace","Plate_10_Samp_15"
"709_Cudi1","Plate_10_Samp_16"
"2944_Sirnak","Plate_10_Samp_17"
"1705_Karab","Plate_10_Samp_18"
"3160_Sirnak","Plate_10_Samp_19"
"1251_Destek","Plate_10_Samp_2"
"2421_Oyali","Plate_10_Samp_20"
"2285_Ortan","Plate_10_Samp_21"
"568_Cermik","Plate_10_Samp_22"
"1591_Kalkan","Plate_10_Samp_23"
"815_Cudi1","Plate_10_Samp_24"
"2675_S2Drd","Plate_10_Samp_25"
"1284_Destek","Plate_10_Samp_26"
"254_Bari3","Plate_10_Samp_27"
"419_Bari3","Plate_10_Samp_28"
"2888_Sirna","Plate_10_Samp_29"
"693_Cudi1","Plate_10_Samp_3"
"84_Bari2","Plate_10_Samp_30"
"799_Cudi1","Plate_10_Samp_31"
"460_Besev","Plate_10_Samp_32"
"604_Cudi1","Plate_10_Samp_33"
"570_Cermik","Plate_10_Samp_34"
"2435_Oyali","Plate_10_Samp_35"
"489_Besev","Plate_10_Samp_36"
"2409_Oyali","Plate_10_Samp_37"
"1990_Karabace","Plate_10_Samp_38"
"1037_Cudi2","Plate_10_Samp_39"
"780_Cudi1","Plate_10_Samp_4"
"2634_S2Drd","Plate_10_Samp_40"
"1767_Karabace","Plate_10_Samp_41"
"108_Bari2","Plate_10_Samp_42"
"2205_Kesentas","Plate_10_Samp_43"
"1096_Cudi2","Plate_10_Samp_44"
"2954_Sirnak","Plate_10_Samp_45"
"274_Bari3","Plate_10_Samp_46"
"2732_Sarikaya","Plate_10_Samp_47"
"2057_Kayatape","Plate_10_Samp_48"
"212_Bari3","Plate_10_Samp_49"
"1365_Destek","Plate_10_Samp_5"
"2083_Kayatape","Plate_10_Samp_50"
"9_Bari1","Plate_10_Samp_51"
"871_Cudi2","Plate_10_Samp_52"
"2063_Kayatape","Plate_10_Samp_53"
"227_Bari3","Plate_10_Samp_54"
"1179_Derici","Plate_10_Samp_55"
"2234_Kesentas","Plate_10_Samp_56"
"2467_Oyali","Plate_10_Samp_57"
"2883_Sirna","Plate_10_Samp_58"
"1837_Karabace","Plate_10_Samp_59"
"3018_Sirnak","Plate_10_Samp_6"
"538_Cermik","Plate_10_Samp_60"
"2424_Oyali","Plate_10_Samp_61"
"1079_Cudi2","Plate_10_Samp_62"
"2117_Kayatepe","Plate_10_Samp_63"
"635_Cudi1","Plate_10_Samp_64"
"2927_Sirnak","Plate_10_Samp_65"
"1698_Karab","Plate_10_Samp_66"
"1656_Kalkan","Plate_10_Samp_67"
"390_Bari3","Plate_10_Samp_68"
"1141_Derici","Plate_10_Samp_69"
"2690_S2Drd","Plate_10_Samp_7"
"1204_Derici","Plate_10_Samp_70"
"2572_S2Drd","Plate_10_Samp_71"
"3156_Sirnak","Plate_10_Samp_72"
"130_Bari2","Plate_10_Samp_73"
"1076_Cudi2","Plate_10_Samp_74"
"3102_Sirnak","Plate_10_Samp_75"
"2988_Sirnak","Plate_10_Samp_76"
"1006_Cudi2","Plate_10_Samp_77"
"1720_Karab","Plate_10_Samp_78"
"2531_S2Drd","Plate_10_Samp_79"
"275_Bari3","Plate_10_Samp_8"
"2086_Kayatape","Plate_10_Samp_80"
"665_Cudi1","Plate_10_Samp_81"
"1207_Derici","Plate_10_Samp_82"
"1040_Cudi2","Plate_10_Samp_83"
"1764_Karabace","Plate_10_Samp_84"
"1875_Karabace","Plate_10_Samp_85"
"1106_Cudi2","Plate_10_Samp_86"
"3186_Sirnak","Plate_10_Samp_87"
"3253_Sirnak","Plate_10_Samp_88"
"1002_Cudi2","Plate_10_Samp_89"
"408_Bari3","Plate_10_Samp_9"
"1396_Egil","Plate_10_Samp_90"
"1906_Karabace","Plate_10_Samp_91"
"1004_Cudi2","Plate_10_Samp_92"
"1623_Kalkan","Plate_10_Samp_93"
"1100_Cudi2","Plate_10_Samp_94"
"1781_Karabace","Plate_10_Samp_95"
"3214_Sirnak","Plate_11_Samp_1"
"771_Cudi1","Plate_11_Samp_10"
"2241_Kesentas","Plate_11_Samp_11"
"890_Cudi2","Plate_11_Samp_12"
"3069_Sirnak","Plate_11_Samp_13"
"30_Bari1","Plate_11_Samp_14"
"2926_Sirnak","Plate_11_Samp_15"
"2384_Oyali","Plate_11_Samp_16"
"238_Bari3","Plate_11_Samp_17"
"3237_Sirnak","Plate_11_Samp_18"
"449_Besev","Plate_11_Samp_19"
"496_Besev","Plate_11_Samp_2"
"566_Cermik","Plate_11_Samp_20"
"1521_Gunas","Plate_11_Samp_21"
"2232_Kesentas","Plate_11_Samp_22"
"1425_Egil","Plate_11_Samp_23"
"1518_Gunas","Plate_11_Samp_24"
"3267_Sirnak","Plate_11_Samp_25"
"2281_Kesentas","Plate_11_Samp_26"
"1864_Karabace","Plate_11_Samp_27"
