temperature,longitude,month,year,latitude,day
-33.3,30.65,2,1901,62.167,16
-32.8,22.617,3,1902,61.183,12
-30.6,30.65,1,1903,62.167,13
-29.4,22.617,12,1904,61.183,31
-32.8,30.65,1,1905,62.167,11
-25.0,25.45,2,1906,65.017,24
-35.0,27.667,1,1907,62.9,22
-37.8,27.217,3,1908,69.1,10
-37.8,27.217,3,1909,69.1,4
-37.2,27.217,11,1910,69.1,14
-37.8,27.217,2,1911,69.1,20
-41.1,29.2,1,1912,65.95,8
-37.2,27.217,3,1913,69.1,1
-37.8,27.217,1,1914,69.1,16
-41.1,29.2,12,1915,65.95,22
-28.9,27.767,1,1916,64.217,13
-47.8,26.65,2,1917,67.367,18
-45.0,26.65,1,1918,67.367,6
-42.8,26.65,12,1919,67.367,20
-34.4,26.65,1,1920,67.367,20
-41.7,26.65,1,1921,67.367,23
-40.0,26.65,2,1922,67.367,4
-39.4,26.65,3,1923,67.367,2
-45.6,26.65,1,1924,67.367,22
-37.8,26.65,12,1925,67.367,20
-42.2,6.233,4,1926,48.7,10
-40.0,1.85,5,1927,50.133,2
-23.9,27.733,1,1928,56.783,19
-40.0,23.95,1,1929,49.817,6
-12.2,23.95,2,1930,49.817,14
-30.0,129.75,12,1931,62.017,31
-47.2,129.75,12,1932,62.017,30
-47.8,129.75,12,1933,62.017,3
-55.6,-135.85,1,1934,63.583,22
-47.8,-139.483,1,1935,64.067,5
-45.0,80.4,1,1936,73.5,24
-47.8,129.75,2,1937,62.017,28
-42.2,-21.567,1,1938,73.483,17
-47.2,-128.783,2,1939,60.133,8
-37.2,-85.3,3,1940,73.0,12
-43.9,-139.483,12,1941,64.067,4
-47.8,-135.85,12,1942,63.583,17
-44.2,-137.483,1,1943,61.65,19
-39.4,-135.85,4,1944,63.583,1
-40.3,-137.483,11,1945,61.65,14
-52.2,150.9,1,1946,65.733,21
-53.1,-140.867,1,1947,62.417,19
-53.9,117.483,1,1948,62.15,19
-48.9,134.45,2,1949,60.383,25
-52.2,131.817,12,1950,60.9,10
-55.0,133.383,1,1951,67.55,16
-46.1,121.617,1,1952,63.767,31
-55.0,132.6,1,1953,62.033,6
-52.0,-56.083,12,1954,77.0,15
-50.0,121.617,12,1955,63.767,20
-46.4,-103.533,2,1956,78.783,22
-50.0,143.65,1,1957,63.267,27
-52.8,121.617,2,1958,63.767,1
-52.8,134.45,1,1959,60.383,13
-52.2,133.383,2,1960,67.55,10
-52.2,131.817,2,1961,60.9,10
-53.9,132.6,12,1962,62.033,20
-53.9,133.383,1,1963,67.55,11
-48.9,-119.533,7,1964,-80.017,4
-50.0,108.017,2,1965,61.267,12
-52.8,133.383,1,1966,67.55,12
-56.1,118.333,1,1967,68.617,29
-55.0,93.117,11,1968,64.383,30
-57.8,113.633,2,1969,63.217,9
-53.9,133.383,12,1970,67.55,30
-52.8,153.833,1,1971,64.75,2
-42.8,-151.517,2,1972,66.917,19
-51.0,72.95,1,1973,66.633,27
-45.0,119.917,2,1974,54.433,1
-47.0,115.667,1,1975,56.5,10
-50.0,102.467,12,1976,71.983,12
-52.0,145.3,12,1977,68.233,21
-52.0,159.233,2,1978,64.117,10
-51.0,-85.933,2,1979,80.0,7
-73.0,106.867,5,1980,-78.45,28
-47.0,135.9,12,1981,65.25,29
-56.0,113.967,1,1982,70.133,9
-55.5,106.867,3,1983,-78.45,12
-72.8,106.867,5,1984,-78.45,4
-51.0,127.167,1,1985,59.65,18
-49.8,134.533,1,1986,60.417,27
-54.9,129.433,12,1987,63.517,28
-47.0,-101.233,12,1988,52.117,26
-71.0,0.0,6,1989,0.0,3
-52.4,-38.82,12,1990,72.28,17
-59.4,123.0,4,1991,-74.5,7
-41.9,116.75,1,1992,55.117,6
-70.0,-0.017,6,1993,-89.95,26
-49.5,-38.17,3,1994,71.67,13
-52.8,90.133,8,1995,-89.0,2
-64.9,90.133,6,1996,-89.0,25
-67.8,39.7,4,1997,-74.017,16
-66.6,123.0,5,1998,-74.5,15
-61.3,-0.3,4,1999,-89.0,19
22.8,-122.867,7,2000,42.383,17
14.4,-76.883,9,2001,34.9,19
12.0,-101.43,11,2002,47.65,15
999.9,-88.917,2,2003,35.6,9
999.9,-85.55,1,2004,42.233,8
6.0,-3.55,3,2005,40.45,18
11.4,-79.333,5,2006,42.967,3
8.0,14.2,12,2007,42.433,24
1.9,9.917,1,2008,48.217,15
-6.0,-89.718,3,2009,45.928,29
2.5,-76.517,12,2010,34.617,7
23.0,-52.6,8,2011,-0.883,27
999.9,76.27,3,2012,-33.6,19
31.0,101.35,1,2013,12.633,5
21.3,-114.209,6,2014,39.012,24
