"pop","sex","family","l_1","w_1","a_1","bod_1","l_4","w_4","a_4","bod_4","l_7","w_7","a_7","bod_7","l_10","w_10","a_10","bod_10","l_13","w_13","a_13","bod_13"
"Juneau",0,1,1.4031503704,1.4976496426,1.350478005,12.0853653655,4.9606621583,5.2984986961,8.8188846204,58.3478281933,10.0838301524,10.6387596166,24.1309656437,141.9187456466,18.368340408,18.5143963016,59.2604886695,317.0592567548,28.6284583028,29.5573652914,117.5738492972,586.1272281227
"Juneau",0,1,1.304122091,1.303320554,1.0334027517,9.9469349022,4.3247933027,4.251244363,6.177371168,42.8747467161,8.7934512503,8.6821503535,17.7834664788,108.2214421836,16.3107226716,15.6059929304,45.9566104158,252.3104767522,25.7903033576,24.50643008,89.3349373028,458.0731713383
"Juneau",0,1,1.337700202,1.3273533478,1.1871578965,11.0930357397,4.6508907949,4.4078034465,7.3852315112,49.8072105051,9.2523140487,9.0333359468,20.3279539754,121.9269612946,17.2678367178,16.9480864656,52.5190828894,284.4072169598,27.0081636968,26.8838446158,103.735047192,523.8778350951
"Juneau",0,2,1.5519197348,1.5091081683,1.5259447371,13.2881289443,5.119699067,4.6115399556,8.1525698548,54.4200350189,9.9392702155,9.1201718017,21.7708190192,129.6449373904,18.0435433977,17.0304248522,56.0851640917,301.6520906165,28.0980470288,28.0328620622,113.3695186004,567.3143822986
"Juneau",0,2,1.1917544896,1.1323017534,0.9292173521,9.2101375002,4.639898414,4.5301796649,7.3414749096,49.7262028089,9.3703033139,8.7159688962,18.8870164063,114.0572246679,17.2475424479,14.9426769596,46.6043908187,255.5914555314,27.239054303,24.1086241886,93.4013834044,476.7891765017
"Juneau",0,3,1.8462438353,1.4536665662,1.7397388043,14.7375244737,5.58830076,5.1099621991,9.6121125853,62.8602144175,10.786677239,9.7876712782,24.3414495719,143.1786014414,19.2759944907,17.6328052155,61.8741052929,329.4175552899,NA,NA,NA,NA
"Juneau",0,3,1.4193464004,1.3517867063,1.2670073888,11.5778446415,4.859179768,4.6489135189,7.5957960684,51.2214684562,9.5063277895,9.9370324095,22.1628032226,131.5069881034,17.4701489238,17.7848757234,55.8431788937,300.5336497696,27.2951594518,27.9424612706,112.1397137472,561.8302516951
"Juneau",0,4,1.6369441272,1.3810593295,1.4653706565,12.8743385316,5.4381418489,4.6250860947,8.955211619,59.0781836903,10.641176619,9.3565451292,24.509366349,144.0575594716,19.0386763956,15.7123747481,59.2658301492,316.9410518772,29.5511597026,25.1601297468,116.4657429328,581.2084564077
"Juneau",0,4,1.5854489163,1.3429818653,1.3758378941,12.3287767466,5.2597290689,4.7678644287,8.5283367375,56.6641485694,10.3348035553,9.6329744474,23.9483762139,140.9089049226,18.6220257566,17.9638835381,59.9364213822,320.2017930735,28.941166625,27.8261204298,115.6498110292,577.5954849842
"Juneau",0,5,1.5933109876,1.4961688491,1.5687863499,13.5799215604,5.1950166056,4.7365303379,8.5420692825,56.7438505204,10.2659093535,9.231414781,23.084813161,136.4234692671,18.6700569185,15.8950455696,55.1791459292,297.4262234849,29.065404205,24.4079572542,106.7177319648,537.290034928
