pop,sex,family,id,day,l,w,a,bod
Addis,0,1,1,1,1.4031503704,1.4976496426,1.350478005,12.0853653655
Addis,0,1,2,1,1.304122091,1.303320554,1.0334027517,9.9469349022
Addis,0,1,3,1,1.337700202,1.3273533478,1.1871578965,11.0930357397
Addis,0,2,4,1,1.5519197348,1.5091081683,1.5259447371,13.2881289443
Addis,0,2,5,1,1.1917544896,1.1323017534,0.9292173521,9.2101375002
Addis,0,3,6,1,1.8462438353,1.4536665662,1.7397388043,14.7375244737
Addis,0,3,7,1,1.4193464004,1.3517867063,1.2670073888,11.5778446415
Addis,0,4,8,1,1.6369441272,1.3810593295,1.4653706565,12.8743385316
Addis,0,4,9,1,1.5854489163,1.3429818653,1.3758378941,12.3287767466
Addis,0,5,10,1,1.5933109876,1.4961688491,1.5687863499,13.5799215604
Addis,0,5,11,1,1.6541776657,1.5485745327,1.6464327353,14.1747316265
Addis,0,5,12,1,1.748379637,1.6294096639,1.8207533213,15.4167702545
Addis,0,6,13,1,1.6659504477,1.4258129996,1.5603617305,13.5225972705
Addis,0,6,14,1,1.6066723886,1.7074002527,1.7484807708,14.863808354
Addis,0,6,15,1,1.5412022264,1.3461048343,1.4206029344,12.7047226871
Addis,0,7,16,1,1.6688351478,1.3808906373,1.5445480104,13.4149216948
Addis,0,7,17,1,1.6064213466,1.4100367207,1.460664678,12.910561079
Addis,0,8,18,1,1.3525296926,1.2185846513,1.0376053124,9.9060987411
Addis,0,8,19,1,1.4871025897,1.3635778771,1.2870723778,11.7166907538
Addis,0,8,20,1,1.4427892963,1.05390958,0.9813126127,9.6500301657
Addis,0,9,21,1,1.4820489867,1.6075614839,1.5653810819,13.5567540754
Addis,0,9,22,1,1.944945316,1.7268038513,2.1896707161,17.8045640055
Addis,0,9,23,1,1.9999928434,2.0227980533,2.7592878571,21.5885549252
Addis,0,10,24,1,1.5878456416,1.3297621829,1.4555108643,12.8068460216
Addis,0,10,25,1,1.2723814096,1.193018575,0.9489497975,9.350173295
Addis,0,10,26,1,1.273506156,1.1883665779,1.0792512332,10.3393818048
Addis,0,11,27,1,1.4558995475,1.052627198,0.9231918556,9.09623473
Addis,0,11,28,1,1.8779413209,1.5148034524,1.8771098345,15.7273638079
Addis,0,12,29,1,1.454899361,1.4130677627,1.3240157985,11.9028476479
